gene,cell_type,value
TUBA1B,SSCs,1.37
CCNI,SSCs,2.4175
CCDC110,SSCs,0.163
GOLGA6L2,SSCs,0.024999999999999998
LINC00643,SSCs,0.028499999999999998
PTGDS,SSCs,0.20750000000000002
PEMT,SSCs,0.129
LAMA2,SSCs,0.101
PRM1,SSCs,2.091
TNP1,SSCs,0.43
PRM2,SSCs,1.6265
HSPB6,SSCs,0.0085
CFD,SSCs,0.058499999999999996
IGFBP6,SSCs,0.0555
AL133499.1,SSCs,0.111
 CCDC110,SSCs,0.163
AC010980.1,SSCs,0.093
GNG11,SSCs,0.07650000000000001
SPARCL1,SSCs,0.053
A2M,SSCs,0.4505
LINC01921,SSCs,0.2115
 PRM2,SSCs,1.6265
 PRM1,SSCs,2.091
 LINC01921,SSCs,0.2115
  PRM1,SSCs,2.091
 TNP1,SSCs,0.43
LRWD1,SSCs,0.2085
SPACA1,SSCs,0.0875
BOD1L2,SSCs,0.2185
TP53TG5,SSCs,0.021
C1orf100,SSCs,0.052500000000000005
CCDC168,SSCs,0.0245
TEX101,SSCs,0.199
SYCP1,SSCs,0.304
LY6K,SSCs,0.1895
CETN3,SSCs,0.379
C15orf48,SSCs,0.162
RNFT1,SSCs,0.197
APOA1,SSCs,0.1315
CLU,SSCs,0.47550000000000003
 DEFB119,SSCs,0.137
 AL133499.1,SSCs,0.111
 LRWD1,SSCs,0.2085
ASRGL1,SSCs,0.4265
RGS5,SSCs,0.035
RERGL,SSCs,0.023
LBH,SSCs,0.321
PAGE2B,SSCs,1.7665
  PRM2,SSCs,1.6265
MAGEB2,SSCs,1.4215
MYH11,SSCs,0.07600000000000001
KRT17,SSCs,0.006500000000000001
MYLK,SSCs,0.121
SPANXN4,SSCs,0.032
PPP1R2C,SSCs,0.131
AC239803.2,SSCs,0.07150000000000001
INSL3,SSCs,0.1305
GSTA1,SSCs,0.096
CYP17A1,SSCs,0.0125
H2AFZ,SSCs,1.1305
 TEX101,SSCs,0.199
HSPA5,SSCs,0.651
IGFBP7,SSCs,0.097
 ACTA2,SSCs,0.07400000000000001
  PTGDS,SSCs,0.20750000000000002
FAM71A,SSCs,0.02
  TNP1,SSCs,0.43
C20orf144,SSCs,0.041499999999999995
