gene,cell_type,value
PPP1R2C,Myeloid,0.030333333333333334
AC239803.2,Myeloid,0.0335
INSL3,Myeloid,0.167
GSTA1,Myeloid,0.15666666666666665
CYP17A1,Myeloid,0.0255
H2AFZ,Myeloid,0.2353333333333333
 TEX101,Myeloid,0.015666666666666666
HSPA5,Myeloid,0.2866666666666667
IGFBP7,Myeloid,0.5670000000000001
 ACTA2,Myeloid,0.4263333333333333
  PTGDS,Myeloid,0.44766666666666666
FAM71A,Myeloid,0.007166666666666666
  TNP1,Myeloid,0.0595
C20orf144,Myeloid,0.0145
TIMP1,Myeloid,0.5195
BEX1,Myeloid,0.16466666666666666
CRYAB,Myeloid,0.41733333333333333
IGLC2,Myeloid,0.032
IGLC3,Myeloid,0.02383333333333333
IGHG1,Myeloid,0.020166666666666666
HLA-DRA,Myeloid,0.30516666666666664
RNASE1,Myeloid,0.29450000000000004
CD74,Myeloid,0.325
TDRD1,SPCs,0.40228571428571425
ELAVL2,SPCs,0.06999999999999999
SOX4,SPCs,0.024999999999999998
HMGN5,SPCs,0.015857142857142858
DEFB119,SPCs,0.038
CITED1,SPCs,0.024857142857142855
DCN,SPCs,0.006999999999999999
C7,SPCs,0.0032857142857142855
 PTGDS,SPCs,0.034428571428571426
BX119904.2,SPCs,0.08771428571428572
SPANXN3,SPCs,0.07857142857142858
LINC00919,SPCs,0.07128571428571429
HIST1H2AA,SPCs,0.5581428571428572
HIST1H2BA,SPCs,0.492
AC084033.3,SPCs,0.6611428571428571
RAD51AP2,SPCs,0.3031428571428571
ZCWPW1,SPCs,0.40685714285714286
SYCP3,SPCs,0.654
 HLA-DRA,SPCs,0.009428571428571429
 CD74,SPCs,0.008
CCL4L2,SPCs,0.0027142857142857142
 CLU,SPCs,0.18485714285714286
SERPINA5,SPCs,0.02642857142857143
  DEFB119,SPCs,0.038
TKTL1,SPCs,0.25828571428571434
GAGE2A,SPCs,0.26142857142857145
HIST1H1A,SPCs,0.18557142857142855
EQTN,SPCs,0.052
LINC01760,SPCs,0.06971428571428571
LINC02032,SPCs,0.03614285714285714
TAGLN,SPCs,0.006857142857142858
ACTA2,SPCs,0.009
ADIRF,SPCs,0.005285714285714287
HMGA1,SPCs,0.15171428571428572
TUBA1B,SPCs,0.24385714285714286
CCNI,SPCs,0.16142857142857145
CCDC110,SPCs,0.4595714285714286
GOLGA6L2,SPCs,0.13199999999999998
LINC00643,SPCs,0.18399999999999997
PTGDS,SPCs,0.034428571428571426
PEMT,SPCs,0.05228571428571428
LAMA2,SPCs,0.010571428571428574
PRM1,SPCs,0.31457142857142856
TNP1,SPCs,0.11071428571428572
PRM2,SPCs,0.2602857142857143
HSPB6,SPCs,0.007714285714285714
CFD,SPCs,0.003999999999999999
IGFBP6,SPCs,0.003
AL133499.1,SPCs,0.4337142857142857
 CCDC110,SPCs,0.4595714285714286
AC010980.1,SPCs,0.5005714285714286
GNG11,SPCs,0.002285714285714286
SPARCL1,SPCs,0.007857142857142858
A2M,SPCs,0.005999999999999999
LINC01921,SPCs,0.08828571428571429
 PRM2,SPCs,0.2602857142857143
 PRM1,SPCs,0.31457142857142856
 LINC01921,SPCs,0.08828571428571429
  PRM1,SPCs,0.31457142857142856
 TNP1,SPCs,0.11071428571428572
LRWD1,SPCs,0.4374285714285714
SPACA1,SPCs,0.1432857142857143
BOD1L2,SPCs,0.41171428571428575
TP53TG5,SPCs,0.013142857142857142
C1orf100,SPCs,0.031285714285714285
CCDC168,SPCs,0.023285714285714288
TEX101,SPCs,0.49628571428571433
SYCP1,SPCs,0.5501428571428572
LY6K,SPCs,0.34485714285714286
CETN3,SPCs,0.5415714285714286
C15orf48,SPCs,0.5525714285714286
RNFT1,SPCs,0.455
APOA1,SPCs,0.027857142857142858
CLU,SPCs,0.18485714285714286
 DEFB119,SPCs,0.038
 AL133499.1,SPCs,0.4337142857142857
 LRWD1,SPCs,0.4374285714285714
ASRGL1,SPCs,0.5797142857142857
RGS5,SPCs,0.014714285714285716
RERGL,SPCs,0.002285714285714286
LBH,SPCs,0.002428571428571429
PAGE2B,SPCs,0.3821428571428571
  PRM2,SPCs,0.2602857142857143
MAGEB2,SPCs,0.19828571428571426
MYH11,SPCs,0.005714285714285714
KRT17,SPCs,0.004
MYLK,SPCs,0.050571428571428566
SPANXN4,SPCs,0.023285714285714288
PPP1R2C,SPCs,0.17257142857142857
AC239803.2,SPCs,0.040999999999999995
INSL3,SPCs,0.032999999999999995
GSTA1,SPCs,0.015142857142857142
CYP17A1,SPCs,0.008
H2AFZ,SPCs,0.6098571428571429
 TEX101,SPCs,0.49628571428571433
HSPA5,SPCs,0.6087142857142858
IGFBP7,SPCs,0.019285714285714285
 ACTA2,SPCs,0.009
  PTGDS,SPCs,0.034428571428571426
FAM71A,SPCs,0.013571428571428571
  TNP1,SPCs,0.11071428571428572
C20orf144,SPCs,0.04357142857142857
TIMP1,SPCs,0.018
BEX1,SPCs,0.047142857142857146
CRYAB,SPCs,0.013714285714285715
IGLC2,SPCs,0.00028571428571428574
IGLC3,SPCs,0.0
IGHG1,SPCs,0.0027142857142857142
HLA-DRA,SPCs,0.009428571428571429
RNASE1,SPCs,0.04042857142857143
CD74,SPCs,0.008
TDRD1,SPGs,0.382
ELAVL2,SPGs,0.532
SOX4,SPGs,0.449
HMGN5,SPGs,0.024
DEFB119,SPGs,0.038
CITED1,SPGs,0.023
DCN,SPGs,0.008
C7,SPGs,0.002
 PTGDS,SPGs,0.044
BX119904.2,SPGs,0.036
SPANXN3,SPGs,0.019
LINC00919,SPGs,0.045
HIST1H2AA,SPGs,0.513
HIST1H2BA,SPGs,0.312
AC084033.3,SPGs,0.121
RAD51AP2,SPGs,0.034
ZCWPW1,SPGs,0.367
SYCP3,SPGs,0.525
 HLA-DRA,SPGs,0.008
 CD74,SPGs,0.011
CCL4L2,SPGs,0.003
 CLU,SPGs,0.06
SERPINA5,SPGs,0.031
  DEFB119,SPGs,0.038
TKTL1,SPGs,1.0
GAGE2A,SPGs,1.0
HIST1H1A,SPGs,1.0
EQTN,SPGs,0.017
LINC01760,SPGs,0.034
LINC02032,SPGs,0.02
TAGLN,SPGs,0.008
ACTA2,SPGs,0.011
ADIRF,SPGs,0.004
HMGA1,SPGs,0.779
TUBA1B,SPGs,0.604
CCNI,SPGs,0.452
CCDC110,SPGs,0.025
GOLGA6L2,SPGs,0.009
LINC00643,SPGs,0.016
PTGDS,SPGs,0.044
PEMT,SPGs,0.115
LAMA2,SPGs,0.005
PRM1,SPGs,0.277
TNP1,SPGs,0.092
PRM2,SPGs,0.224
HSPB6,SPGs,0.004
CFD,SPGs,0.049
IGFBP6,SPGs,0.006
AL133499.1,SPGs,0.038
 CCDC110,SPGs,0.025
AC010980.1,SPGs,0.04
GNG11,SPGs,0.012
SPARCL1,SPGs,0.006
A2M,SPGs,0.009
LINC01921,SPGs,0.07
 PRM2,SPGs,0.224
 PRM1,SPGs,0.277
 LINC01921,SPGs,0.07
  PRM1,SPGs,0.277
 TNP1,SPGs,0.092
LRWD1,SPGs,0.101
SPACA1,SPGs,0.029
BOD1L2,SPGs,0.076
TP53TG5,SPGs,0.01
C1orf100,SPGs,0.024
CCDC168,SPGs,0.012
TEX101,SPGs,0.2
SYCP1,SPGs,0.052
LY6K,SPGs,0.212
CETN3,SPGs,0.217
C15orf48,SPGs,0.153
RNFT1,SPGs,0.135
APOA1,SPGs,0.03
CLU,SPGs,0.06
 DEFB119,SPGs,0.038
 AL133499.1,SPGs,0.038
 LRWD1,SPGs,0.101
ASRGL1,SPGs,0.182
RGS5,SPGs,0.009
RERGL,SPGs,0.003
LBH,SPGs,0.015
PAGE2B,SPGs,0.656
  PRM2,SPGs,0.224
MAGEB2,SPGs,0.366
MYH11,SPGs,0.005
KRT17,SPGs,0.003
MYLK,SPGs,0.009
SPANXN4,SPGs,0.012
PPP1R2C,SPGs,0.047
AC239803.2,SPGs,0.024
INSL3,SPGs,0.036
GSTA1,SPGs,0.019
CYP17A1,SPGs,0.006
H2AFZ,SPGs,0.385
 TEX101,SPGs,0.2
HSPA5,SPGs,0.577
IGFBP7,SPGs,0.018
 ACTA2,SPGs,0.011
  PTGDS,SPGs,0.044
FAM71A,SPGs,0.011
  TNP1,SPGs,0.092
C20orf144,SPGs,0.021
TIMP1,SPGs,0.021
BEX1,SPGs,0.034
CRYAB,SPGs,0.001
IGLC2,SPGs,0.0
IGLC3,SPGs,0.0
IGHG1,SPGs,0.001
HLA-DRA,SPGs,0.008
RNASE1,SPGs,0.045
CD74,SPGs,0.011
TDRD1,SSCs,0.7955
ELAVL2,SSCs,0.996
SOX4,SSCs,0.874
HMGN5,SSCs,0.023
DEFB119,SSCs,0.0385
CITED1,SSCs,0.049499999999999995
DCN,SSCs,0.01
C7,SSCs,0.006
 PTGDS,SSCs,0.028
BX119904.2,SSCs,0.056499999999999995
SPANXN3,SSCs,0.028999999999999998
LINC00919,SSCs,0.0485
HIST1H2AA,SSCs,0.324
HIST1H2BA,SSCs,0.16449999999999998
AC084033.3,SSCs,0.085
RAD51AP2,SSCs,0.017
ZCWPW1,SSCs,0.369
SYCP3,SSCs,0.1615
 HLA-DRA,SSCs,0.007
 CD74,SSCs,0.026500000000000003
CCL4L2,SSCs,0.0055
 CLU,SSCs,0.07
SERPINA5,SSCs,0.023
  DEFB119,SSCs,0.0385
TKTL1,SSCs,0.6425000000000001
GAGE2A,SSCs,0.6825
HIST1H1A,SSCs,0.361
EQTN,SSCs,0.014499999999999999
LINC01760,SSCs,0.029
LINC02032,SSCs,0.0145
TAGLN,SSCs,0.008
ACTA2,SSCs,0.015
ADIRF,SSCs,0.006
HMGA1,SSCs,0.8765000000000001
TUBA1B,SSCs,0.535
CCNI,SSCs,0.9079999999999999
CCDC110,SSCs,0.0425
GOLGA6L2,SSCs,0.0135
LINC00643,SSCs,0.015
PTGDS,SSCs,0.028
