Cell,Group,Disease,Stage,PlotStage,Pseudotime2,MixEntropy,Batch,OXPHOS,Apoptosis
Normal_1_2_7_3_bar51,Normal,Control,S1,Round Sperm,8.118435754189944,0.3516761192089252,Normal_1,2.844785960977968,0.16637151026252175
Normal_1_2_7_4_bar52,Normal,Control,P,Late SPC,6.342857142857143,0.20976880507769463,Normal_1,3.0386093427361685,0.2645870413893089
Normal_1_2_7_5_bar53,Normal,Control,L3,Early SPC,5.088372093023255,0.9289400324929343,Normal_1,2.9510588548889567,0.4708700841531878
Normal_1_2_7_6_bar54,Normal,Control,SPC7,Late SPC,7.364102564102564,0.4454685520745207,Normal_1,3.0169275303170506,0.0
Normal_1_2_7_7_bar55,Normal,Control,P,Late SPC,6.324999999999999,0.20976880507769463,Normal_1,3.1205912496752877,0.21939214583154223
Normal_1_2_7_8_bar56,Normal,Control,preP,Late SPC,5.770786516853933,0.8705109726668042,Normal_1,3.157788435621499,0.17610694452457334
Normal_1_2_8_1_bar57,Normal,Control,P,Late SPC,6.185714285714285,0.3516761192089252,Normal_1,2.9922421890260535,0.06616707338919355
Normal_1_2_8_2_bar58,Normal,Control,S1,Round Sperm,8.149720670391062,0.1016093118462857,Normal_1,2.914165662366691,0.07803208151670955
Normal_1_2_8_3_bar59,Normal,Control,SPC7,Late SPC,7.333333333333333,0.27071808593082797,Normal_1,2.9962753183194533,0.5162797977333053
Normal_1_2_8_4_bar60,Normal,Control,P,Late SPC,6.142857142857143,0.3258655606291759,Normal_1,3.041140598875404,0.4623968365460505
Normal_1_2_8_5_bar61,Normal,Control,S1,Round Sperm,8.281564245810056,0.5076575881791653,Normal_1,3.022282961731128,0.30281906225202593
Normal_1_2_8_6_bar62,Normal,Control,S2,Elongated Sperm,9.329801324503311,0.7192711659547665,Normal_1,2.7839717391798677,0.10950672220172789
Normal_1_2_8_7_bar63,Normal,Control,P,Late SPC,6.321428571428571,0.20976880507769463,Normal_1,2.9404241377440905,0.33595669057585
Normal_1_2_8_8_bar64,Normal,Control,preP,Late SPC,5.955056179775281,0.6918138653199457,Normal_1,3.387384836146204,0.11006576362084255
Normal_1_2_9_2_bar66,Normal,Control,P,Late SPC,6.303571428571429,0.24107630848449527,Normal_1,3.097544677559248,0.20692374569773822
