cell_id,group,Disease,Stage,plot_stage,pseudotime,mix_entropy,Batch,OXPHOS,Apoptosis
Normal_3_4_8_8_bar64,Normal,Control,S1,Round Sperm,8.312849162011172,0.5270721966227245,Normal_3,2.748862129281104,0.0
Normal_3_4_9_1_bar65,Normal,Control,SPC7,Late SPC,7.572649572649572,0.4232915514333092,Normal_3,2.893615537845311,0.0
Normal_3_4_9_2_bar66,Normal,Control,S1,Round Sperm,8.022346368715084,0.4232915514333092,Normal_3,2.469357705903046,0.8587133837365841
Normal_3_4_9_5_bar69,Normal,Control,Undiff.SPG-1,SPG (Stem),1.772222222222222,0.9513308424568568,Normal_3,2.9214973496227694,0.6023955494335356
Normal_3_5_1_3_bar3,Normal,Control,P,Late SPC,6.296428571428572,0.2410763084844952,Normal_3,3.077213749685306,0.3372524433302988
Normal_3_5_1_4_bar4,Normal,Control,Undiff.SPG-1,SPG (Stem),1.85,0.994646779743541,Normal_3,2.921883388224864,1.1537002495974802
Normal_3_5_1_8_bar8,Normal,Control,P,Late SPC,6.128571428571429,0.3258655606291759,Normal_3,2.9176485515257196,0.2107184017988255
Normal_3_5_10_2_bar74,Normal,Control,S1,Round Sperm,8.16312849162011,-1.4428232973175177e-12,Normal_3,2.6428978482725527,0.3256646832482513
Normal_3_5_10_7_bar79,Normal,Control,L3,Early SPC,5.130232558139535,0.9732275455406916,Normal_3,2.2430116495819625,0.0
Normal_3_5_11_1_bar81,Normal,Control,preL-2,Early SPC,4.0,0.9513308424568568,Normal_3,2.6105415305431334,0.0
Normal_3_5_11_3_bar83,Normal,Control,ST,Round Sperm,8.0,0.4232915514333092,Normal_3,2.748577242295428,0.48089406180786
Normal_3_5_11_4_bar84,Normal,Control,D,Late SPC,6.5376744186046505,0.3764618904658653,Normal_3,2.9282946507273815,0.4752554102088966
Normal_3_5_11_5_bar85,Normal,Control,S1,Round Sperm,8.040223463687152,0.4232915514333092,Normal_3,2.128825585118585,0.0
Normal_3_5_11_6_bar86,Normal,Control,S1,Round Sperm,8.008938547486032,0.4232915514333092,Normal_3,2.6066467354821112,0.0
Normal_3_5_11_7_bar87,Normal,Control,SPC7,Late SPC,7.302564102564101,0.1764720592497063,Normal_3,2.7418387293761626,0.7981374774050545
Normal_3_5_11_8_bar88,Normal,Control,S2,Elongated Sperm,9.435761589403974,0.4668927834005117,Normal_3,2.706117517503459,0.13531678853457
Normal_3_5_12_5_bar93,Normal,Control,preP,Late SPC,5.9460674157303375,0.7192711659547665,Normal_3,2.9761190993639257,0.2113629521203411
Normal_3_5_2_5_bar13,Normal,Control,P,Late SPC,6.210714285714285,0.400309645830661,Normal_3,2.878804327074928,0.3281198836236131
Normal_3_5_2_6_bar14,Normal,Control,D,Late SPC,6.416744186046511,0.2410763084844952,Normal_3,3.0370570408589463,0.2273690357089844
Normal_3_5_3_1_bar17,Normal,Control,preP,Late SPC,5.824719101123596,0.7451377602914301,Normal_3,3.1540425994790025,0.0772336650711643
Normal_3_5_3_3_bar19,Normal,Control,D,Late SPC,6.734883720930234,0.1016093118462857,Normal_3,2.8215611455695324,0.2755575477189044
Normal_3_5_3_8_bar24,Normal,Control,L3,Early SPC,5.116279069767442,0.9608903873324842,Normal_3,2.7634282702282884,0.4944983844290134
Normal_3_5_4_1_bar25,Normal,Control,L1/2,Early SPC,4.713513513513513,0.9289400324929344,Normal_3,2.798430463165367,0.2240551466551333
Normal_3_5_4_5_bar29,Normal,Control,Undiff.SPG-2,SPG (Stem),2.336842105263158,0.8705109726668042,Normal_3,3.4202752861010586,0.5378982768054456
Normal_3_5_4_7_bar31,Normal,Control,Undiff.SPG-2,SPG (Stem),2.2596491228070175,0.8788487292656739,Normal_3,3.086029140892816,0.3342125646270288
Normal_3_5_5_3_bar35,Normal,Control,S2,Elongated Sperm,9.39337748344371,0.4668927834005117,Normal_3,2.6568519376316395,0.2219815925313211
Normal_3_5_5_5_bar37,Normal,Control,P,Late SPC,6.3464285714285715,0.2097688050776946,Normal_3,3.077713749902953,0.3367323911267903
Normal_3_5_5_6_bar38,Normal,Control,Diff.ing SPG,SPG (Stem),3.1859649122807014,0.9020619953851936,Normal_3,3.287119061024134,1.0630893354039856
Normal_3_5_6_1_bar41,Normal,Control,Undiff.SPG-1,SPG (Stem),1.9,0.9997152513086194,Normal_3,2.768992001200543,0.8518798036480734
Normal_3_5_6_4_bar44,Normal,Control,S3,Elongated Sperm,9.791304347826088,0.3146826041317804,Normal_3,1.7929924659028615,0.1650474252411377
Normal_3_5_6_6_bar46,Normal,Control,S1,Round Sperm,8.049162011173184,0.4232915514333092,Normal_3,2.799754864040472,0.23934772231002
Normal_3_5_6_8_bar48,Normal,Control,Undiff.SPG-2,SPG (Stem),2.1333333333333333,0.946145240560026,Normal_3,3.198362291010255,0.35954224489437
Normal_3_5_7_1_bar49,Normal,Control,L3,Early SPC,5.181395348837209,0.980135748457446,Normal_3,2.3605195373498553,0.0
Normal_3_5_7_2_bar50,Normal,Control,L3,Early SPC,5.111627906976745,0.956245250149424,Normal_3,2.426183566877643,0.75585576777151
Normal_3_5_7_3_bar51,Normal,Control,L1/2,Early SPC,4.778378378378378,0.9289400324929344,Normal_3,1.976434272463079,0.0
Normal_3_5_7_4_bar52,Normal,Control,Undiff.SPG-2,SPG (Stem),2.287719298245614,0.8705109726668042,Normal_3,2.798495912153681,0.2287403154865066
Normal_3_5_7_6_bar54,Normal,Control,Undiff.SPG-1,SPG (Stem),1.972222222222222,0.9974359110054954,Normal_3,2.823987880037775,0.6233710184544766
Normal_3_5_7_7_bar55,Normal,Control,Diff.ing SPG,SPG (Stem),2.9614035087719297,0.8138917044627733,Normal_3,3.034261645999083,0.4415633741137811
Normal_3_5_8_2_bar58,Normal,Control,Z,Early SPC,5.5200000000000005,0.8618667612702412,Normal_3,3.0514948737673406,0.0
Normal_3_5_8_3_bar59,Normal,Control,SPC7,Late SPC,7.258119658119658,0.0574590202865503,Normal_3,2.7113013978123632,0.3427919089125911
Normal_3_5_8_4_bar60,Normal,Control,D,Late SPC,6.667906976744185,0.2989239369426592,Normal_3,2.757307897733175,0.4423671878181411
Normal_3_5_8_8_bar64,Normal,Control,preL-1,Early SPC,3.5999999999999996,0.8946205888882695,Normal_3,3.013148058922245,0.2591738589995667
Normal_3_5_9_2_bar66,Normal,Control,S2,Elongated Sperm,9.5841059602649,0.4192329950779345,Normal_3,2.0927183763996955,0.3441997999975811
Normal_3_5_9_5_bar69,Normal,Control,L1/2,Early SPC,4.65945945945946,0.9289400324929344,Normal_3,2.6152151613259016,0.0
Normal_3_6_1_1_bar1,Normal,Control,D,Late SPC,6.545116279069768,0.3764618904658653,Normal_3,2.9216414644147,0.562540553133491
Normal_3_6_1_2_bar2,Normal,Control,P,Late SPC,6.175000000000001,0.3258655606291759,Normal_3,2.933680923059879,0.268873440627111
Normal_3_6_1_8_bar8,Normal,Control,Z,Early SPC,5.404444444444444,0.8618667612702412,Normal_3,2.9317393662367643,0.2716591165491311
Normal_3_6_10_1_bar73,Normal,Control,P,Late SPC,6.125,0.3258655606291759,Normal_3,2.8260235113305683,0.0
Normal_3_6_10_8_bar80,Normal,Control,D,Late SPC,6.500465116279069,0.3764618904658653,Normal_3,3.04017672949271,0.614446687417208
Normal_3_6_11_1_bar81,Normal,Control,Undiff.SPG-1,SPG (Stem),1.894444444444444,0.9999683631042892,Normal_3,2.97560114867715,1.0254537572324811
Normal_3_6_11_4_bar84,Normal,Control,D,Late SPC,6.716279069767443,0.2097688050776946,Normal_3,2.7834312067050124,0.6086691073540722
Normal_3_6_11_6_bar86,Normal,Control,preL-1,Early SPC,3.5294117647058827,0.9020619953851936,Normal_3,2.87417985792645,0.0
Normal_3_6_11_8_bar88,Normal,Control,P,Late SPC,6.075,0.3258655606291759,Normal_3,2.9510447820007797,0.5638981366759324
Normal_3_6_12_1_bar89,Normal,Control,preP,Late SPC,5.973033707865168,0.6317686119223737,Normal_3,3.3063348521887,0.37569815250042
Normal_3_6_12_4_bar92,Normal,Control,P,Late SPC,6.053571428571428,0.3258655606291759,Normal_3,3.0065587166463756,0.2903140038938456
Normal_3_6_12_5_bar93,Normal,Control,S2,Elongated Sperm,9.594701986754966,0.3966277727754934,Normal_3,2.024146658078017,0.0777279591692321
Normal_3_6_12_6_bar94,Normal,Control,Undiff.SPG-1,SPG (Stem),1.9333333333333331,0.999208938861951,Normal_3,2.4698860054490703,0.5737621512184885
Normal_3_6_12_8_bar96,Normal,Control,Undiff.SPG-2,SPG (Stem),2.343859649122807,0.8705109726668042,Normal_3,3.02938401291469,1.1540897794458034
Normal_3_6_2_1_bar9,Normal,Control,L1/2,Early SPC,4.8,0.9289400324929344,Normal_3,2.2534525377329606,0.0
Normal_3_6_2_2_bar10,Normal,Control,D,Late SPC,6.619534883720931,0.2707180859308279,Normal_3,2.579789220922599,0.0
Normal_3_6_2_6_bar14,Normal,Control,S1,Round Sperm,8.20782122905028,0.2989239369426592,Normal_3,2.319172686245367,0.0
Normal_3_6_2_7_bar15,Normal,Control,L3,Early SPC,5.074418604651163,0.9092115787742614,Normal_3,2.7093195065304068,0.0
Normal_3_6_3_5_bar21,Normal,Control,L3,Early SPC,5.176744186046513,0.983198884098092,Normal_3,2.4494495131956224,0.0
Normal_3_6_3_6_bar22,Normal,Control,Z,Early SPC,5.413333333333333,0.8618667612702412,Normal_3,3.0081040032323387,0.3303143145153025
Normal_3_6_3_8_bar24,Normal,Control,L1/2,Early SPC,4.724324324324324,0.9289400324929344,Normal_3,2.487948532131812,0.0
Normal_3_6_4_1_bar25,Normal,Control,SPC7,Late SPC,7.4564102564102575,0.4232915514333092,Normal_3,2.4869233829893593,0.4223049582151977
Normal_3_6_5_6_bar38,Normal,Control,S1,Round Sperm,8.297206703910614,0.5076575881791653,Normal_3,2.678220955412258,0.028153803977786
Normal_3_6_5_7_bar39,Normal,Control,S1,Round Sperm,8.15195530726257,0.0574590202865503,Normal_3,2.248503437711844,0.0
Normal_3_6_6_1_bar41,Normal,Control,Undiff.SPG-2,SPG (Stem),2.3719298245614033,0.8705109726668042,Normal_3,3.225161151269943,1.449980558742681
Normal_3_6_6_5_bar45,Normal,Control,LD,Elongated Sperm,9.2,0.6317686119223737,Normal_3,2.018134453736316,0.0
Normal_3_6_7_1_bar49,Normal,Control,SPC7,Late SPC,7.411965811965812,0.4454685520745207,Normal_3,2.8201863307690074,0.1492744846018863
Normal_3_6_7_2_bar50,Normal,Control,D,Late SPC,6.455813953488372,0.3516761192089252,Normal_3,2.755998686790194,0.4687467909787178
Normal_3_6_7_4_bar52,Normal,Control,Z,Early SPC,5.2,0.9608903873324842,Normal_3,2.5224039474511355,0.1092436876467662
Normal_3_6_7_7_bar55,Normal,Control,S1,Round Sperm,8.011173184357542,0.4232915514333092,Normal_3,2.492064848531477,0.4279217108635971
Normal_3_6_8_5_bar61,Normal,Control,S1,Round Sperm,8.201117318435754,0.2097688050776946,Normal_3,2.541609543162722,0.1173981698184853
Normal_3_6_8_6_bar62,Normal,Control,S2,Elongated Sperm,9.441059602649007,0.4668927834005117,Normal_3,2.427944444037343,0.4207546029069934
Normal_3_6_8_7_bar63,Normal,Control,S2,Elongated Sperm,9.300662251655629,0.7192711659547665,Normal_3,2.5629923855672576,0.119465420652218
Normal_3_6_8_8_bar64,Normal,Control,SPC7,Late SPC,7.21025641025641,0.0574590202865503,Normal_3,2.6355058059314023,0.4700179618606378
Normal_3_6_9_5_bar69,Normal,Control,Diff.ing SPG,SPG (Stem),3.101754385964912,0.7923871505107605,Normal_3,3.370999690828272,0.3894464444766151
Normal_3_7_1_2_bar2,Normal,Control,L3,Early SPC,4.948837209302326,0.994646779743541,Normal_3,2.9475372537195987,0.7004929711686633
Normal_3_7_1_3_bar3,Normal,Control,Undiff.SPG-2,SPG (Stem),2.1403508771929824,0.940686389593858,Normal_3,3.250774491427223,0.2841702919611844
Normal_3_7_1_4_bar4,Normal,Control,L3,Early SPC,5.0,0.9608903873324842,Normal_3,2.819458691616262,0.0
Normal_3_7_10_1_bar73,Normal,Control,D,Late SPC,6.526511627906977,0.3764618904658653,Normal_3,2.640158929667992,0.0
Normal_3_7_10_3_bar75,Normal,Control,S2,Elongated Sperm,9.242384105960266,0.6918138653199457,Normal_3,2.5917688725945314,0.2658741018034222
Normal_3_7_10_4_bar76,Normal,Control,L3,Early SPC,4.990697674418605,0.969379918165952,Normal_3,2.786661107901707,0.8948837925068978
Normal_3_7_10_8_bar80,Normal,Control,L1/2,Early SPC,4.691891891891892,0.9289400324929344,Normal_3,2.6230670081228658,0.583975172901611
Normal_3_7_11_2_bar82,Normal,Control,L1/2,Early SPC,4.735135135135136,0.9289400324929344,Normal_3,2.4598364464398568,0.0
Normal_3_7_11_3_bar83,Normal,Control,S1,Round Sperm,8.078212290502794,0.4232915514333092,Normal_3,2.6476903161415475,0.0685887203156495
Normal_3_7_11_4_bar84,Normal,Control,Undiff.SPG-2,SPG (Stem),2.1824561403508773,0.9092115787742614,Normal_3,3.733858219887961,0.0
Normal_3_7_12_1_bar89,Normal,Control,preL-2,Early SPC,3.767741935483871,0.9092115787742614,Normal_3,2.7512026315996745,0.1948449484755555
Normal_3_7_12_6_bar94,Normal,Control,S2,Elongated Sperm,9.504635761589403,0.4548525435080371,Normal_3,2.33806846229648,0.0
Normal_3_7_12_8_bar96,Normal,Control,L3,Early SPC,5.120930232558139,0.965268051444089,Normal_3,2.5952689167641307,0.0
Normal_3_7_2_3_bar11,Normal,Control,SPC7,Late SPC,7.217094017094016,0.0574590202865503,Normal_3,2.6465834375871617,0.4107970594810755
Normal_3_7_3_1_bar17,Normal,Control,preP,Late SPC,5.730337078651685,0.9226477100637912,Normal_3,3.1412089827794176,0.1583616276495943
Normal_3_7_3_2_bar18,Normal,Control,Undiff.SPG-1,SPG (Stem),1.7999999999999998,0.9732275455406916,Normal_3,3.0389349492902076,1.2003429622950832
Normal_3_7_3_3_bar19,Normal,Control,D,Late SPC,6.777674418604651,0.0574590202865503,Normal_3,3.0446572645785017,0.2034472390147196
Normal_3_7_5_1_bar33,Normal,Control,Undiff.SPG-2,SPG (Stem),2.1614035087719294,0.9289400324929344,Normal_3,2.9402858243139303,0.8151875668160822
Normal_3_7_5_2_bar34,Normal,Control,P,Late SPC,6.2178571428571425,0.400309645830661,Normal_3,2.943126988280828,0.0
Normal_3_7_5_3_bar35,Normal,Control,Undiff.SPG-1,SPG (Stem),1.822222222222222,0.9860029065325912,Normal_3,3.004399643168769,0.84087641355383
Normal_3_7_5_4_bar36,Normal,Control,preP,Late SPC,5.8157303370786515,0.7694881247939164,Normal_3,3.202873280570431,0.3141320183131511
Normal_3_7_5_5_bar37,Normal,Control,S1,Round Sperm,8.223463687150838,0.4668927834005117,Normal_3,2.9249960645243043,0.206681166787314
Normal_3_7_6_2_bar42,Normal,Control,L3,Early SPC,5.027906976744187,0.9289400324929344,Normal_3,2.5114882013917095,0.18223979499592
Normal_3_7_6_3_bar43,Normal,Control,P,Late SPC,6.364285714285715,0.1764720592497063,Normal_3,2.5223136552960677,0.0
Normal_3_7_6_4_bar44,Normal,Control,L3,Early SPC,5.106976744186046,0.9513308424568568,Normal_3,2.4510464710194215,0.5496159697805567
Normal_3_7_6_5_bar45,Normal,Control,L3,Early SPC,5.079069767441861,0.9160724926555216,Normal_3,2.357897024309347,0.4931880073538989
Normal_3_7_6_6_bar46,Normal,Control,S1,Round Sperm,8.020111731843574,0.4232915514333092,Normal_3,2.3699298355662606,0.0
