gene_name,Ctrl,iNOA_B,iNOA_S,OA,AZFc_Del,KS
TCERG1L,0.041682853,0.034507461,0.025106093,0.017436041,0.021264343,0.024220073
TCERG1L-AS1,0,0,0,0,0.002171364,0.005512047
TCF12,0.425198546,0.375204649,0.544525153,0.301819683,0.470945646,0.276711688
TCF15,0,0,0.000416765,0.003006015,0.001485988,0.002620879
TCF19,0.002560531,0,0.005493106,0.002277962,0.005019492,0.018181931
TCF20,0.079318256,0.113956322,0.088749791,0.076769057,0.080545625,0.059028606
TCF21,0,0,0.000773622,0,0.003328275,0
TCF23,0.021704539,0.00765005,0.024532868,0.018351713,0.018922481,0.014675071
TCF24,0,0,0,0.004396145,0,0.007444132
TCF25,2.165115814,2.301246838,2.766721497,1.702359492,1.813788801,2.805312389
TCF3,0.070297473,0.113260672,0.07890244,0.072484703,0.104056106,0.090790964
TCF4,1.022132542,0.828699547,1.056922377,0.753753882,1.082719808,0.843319014
TCF7,0.033639079,0.030216271,0.046896542,0.007003154,0.02187028,0.026403541
TCF7L1,0.005995003,0.005352817,0.002423223,0.010916514,0.006250179,0.008297685
TCF7L2,0.305399157,0.435041746,0.588709963,0.329983046,0.52006334,0.319059112
TCFL5,0.026430532,0.051195626,0.020733632,0.084978026,0.052809561,0.111826678
TCHH,0.001706303,0.003962923,0.000502379,0.00296707,0.001495264,0.013518986
TCHP,0.132549483,0.116855675,0.113418261,0.094884731,0.12651669,0.133616937
TCIM,0,0.009635072,0.006795952,0.00621761,0.010019712,0.003922667
TCIRG1,0.002020382,0,0.00173737,0,0.002085094,0.002961999
TCL1A,0.001789831,0.004358218,0,0.002816984,0.002880826,0.019192935
TCL6,0,0.004120921,0.001867722,0.001240886,0,0
TCN1,0.070708835,0.082161004,0.03902125,0.033334857,0.039732378,0.011701658
TCN2,0.046523956,0.010492486,0.055955671,0.036620373,0.035019244,0.039274878
TCOF1,0.329739135,0.305914029,0.252123448,0.184660376,0.195156108,0.236492709
TCP1,0.84849211,1.032782363,1.174802068,1.06898052,1.081232284,1.329379442
TCP10,0.008443462,0.003571996,0,0.028148599,0.002836767,0.03512396
TCP10L,0.108290595,0,0.001207181,0.436623028,0.06550821,0.365114931
TCP10L2,0.007465265,0.011920822,0.00126046,0.010412963,0.003326415,0.004042487
TCP11,0.490249223,0.020757583,0.009820385,1.004612962,0.215177858,1.022201823
TCP11L1,0.046174017,0.071718283,0.079904598,0.024186774,0.055763627,0.033118061
TCP11L2,0.038516607,0.012852096,0.100907994,0.027903314,0.044416598,0.020598823
TCP1P1,0.002194345,0.015893178,0.001389656,0,0.000888876,0
TCTA,0.157846271,0.08824362,0.225871268,0.116101424,0.163482965,0.111795931
TCTE1,0.009522912,0,0,0.034356566,0.005556417,0.06082179
TCTE3,0.018064895,0.026015403,0.026945481,0.095629362,0.029694722,0.068638497
TCTEX1D1,0,0,0.000818332,0,0,0.011543533
TCTEX1D2,0.066851871,0.038338146,0.091204219,0.142534158,0.124488566,0.129170476
TCTEX1D4,0,0,0.004938262,0.000909086,0.002360412,0.001886603
TCTN1,0.396943693,0.28052217,0.287766822,0.408170352,0.373042149,0.34868744
TCTN2,0.018971671,0.016682223,0.009299794,0.010268251,0.028966696,0.018359811
TCTN3,0.246247312,0.228911203,0.205908668,0.294155073,0.288255352,0.216813017
TDG,0.338839294,0.623264109,0.506146755,0.231964375,0.363579779,0.35833541
TDGF1,0,0,0.000286004,0,0.001196619,0.004084457
TDGF1P7,0.001368206,0,0,0.00112086,0.00064641,0
TDGP1,0.001094952,0.003258155,0.004274992,0,0.003445818,0.008711538
TDH,0.003559461,0,0,0.001104601,0.001684439,0
