Gene id,CTRL,AZFC,iNOA-S,iNOA-B,OA,KS
TEX48,0.069841641,0.009147366,0,0,0.09132067,0.099837493
AC009623.1,0.065362471,0.01309763,0,0,0.126128337,0.090294581
C20orf85,0.062647692,0.03006488,0,0,0.230548191,0.257997951
BCL2L14,0.078943716,0.035502488,0,0,0.111187554,0.171233644
LYZL6,0.060965618,0.041040824,0,0,0.182193033,0.149809758
SORCS3-AS1,0.083478846,0.032454037,0,0,0.12401634,0.124231538
H1FNT,0.062741192,0.038360733,0,0,0.149826079,0.214344009
KIF2B,0.070337051,0.02930903,0,0,0.097388362,0.165065806
FAM209B,0.127011273,0.049422494,0.003065784,0.004718927,0.157767958,0.181393752
FSTL3,0.950764613,0.54510574,0.49569135,0.575765497,0.915902352,0.986473837
AC016747.2,0.074202658,0.032301,0.000987777,0.00517275,0.197853222,0.160823781
MTCO1P12,1.672081986,1.228320382,1.154363753,1.425098618,1.594889786,1.273468888
CCIN,0.069988923,0.018804892,0,0,0.093454661,0.153351907
SSMEM1,0.055642482,0.032398973,0,0.004093464,0.144840776,0.144104477
C1orf158,0.058076831,0.039908878,0,0,0.177068645,0.181599211
ZPBP2,0.057227986,0.095372152,0,0.021017029,0.361954368,0.352032702
CST13P,0.065263446,0.015370223,0,0,0.090866015,0.069988227
45912,0.063283903,0.044866244,0,0,0.270022173,0.303908193
MIR7515HG,0.068162696,0.028347053,0,0,0.086031303,0.053324607
BANF2,0.069764483,0.027593402,0,0,0.191161236,0.247798321
LINC01350,0.064006736,0.037869612,0,0,0.200764759,0.181074064
ADIG,0.091810033,0.02229537,0,0,0.116351878,0.143150294
TMEM270,0.090938873,0.025937932,0,0,0.087346741,0.17338741
GABRG3-AS1,0.069846602,0.02922278,0,0,0.109250128,0.134656413
LINC01481-1,0.057155469,0,0,0.07238081,0,0
AC140479.4,0.114040232,0.0246271,0.003361294,0,0.089863588,0.157683607
SMC1B,0.10778599,0.061796001,0.000927237,0.052831259,0.11240033,0.088155882
TEX44,0.057807477,0.015908465,0,0,0.130303289,0.176432403
FAM236D,0.047463745,0,0,0,0,0
LINC00927,0.066592968,0.018699913,0,0,0.078013164,0.090646332
DDX25,0.058947955,0.038059936,0,0,0.196225541,0.190645663
C3orf30,0.110675693,0.032374752,0,0,0.150261982,0.090906335
LINC01120,0.061614689,0.032461244,0,0,0.071463572,0.098983407
FSCN3,0.092999244,0.020609426,0.002602745,0,0.11418134,0.143157479
ACE2,2.50820923,2.338265927,2.053014745,2.55059305,2.704614435,2.253240418
AC010325.1,0.138752359,0.127170347,0.02237135,0.030766166,0.645772945,0.515523287
MMD,0.895812202,0.567278212,0.4726888,0.658306528,0.921997145,0.741876934
AC092666.1,0.071339899,0.018597304,0,0,0.067542818,0.083924957
FAM71F1,0.054023844,0.043693481,0,0,0.154790293,0.178150116
