,Ctrl,iNOA_B,iNOA_S,AZFc_Del,KS
KERA,0,0,0.002046351,0.005701666,0.007401063
KF456478.1,0,0,0,0.047311474,0.046819219
KHDC1,0.045018413,0.057850814,0.04242781,0.022989795,0.04554955
KHDC4,0.117394875,0.207552899,0.207815491,0.206124321,0.264363696
KHDRBS1,0.971914489,1.298108187,1.423936933,1.143507809,1.717547968
KHDRBS3,0.119873303,0.254182009,0.091782091,0.128838902,0.199340091
KHK,0.006197169,0.013754083,0.013494837,0.062757617,0.054645412
KHNYN,0.053351708,0.012957523,0.04684577,0.076011695,0.144711551
KHSRP,0.169858034,0.241002038,0.333279845,0.445155532,0.445688382
KIAA0040,0.122863495,0.620881261,0.334812947,0.177243165,0.39396612
KIAA0100,0.515949596,0.244451569,0.638665389,0.459528396,0.422885615
KIAA0141,0.182244718,0.09212609,0.22617305,0.236480816,0.29897384
KIAA0232,1.009097954,1.613543039,1.324759376,1.556993353,0.936527878
KIAA0319,0.00271637,0.017670982,0.003259866,0,0.001488723
KIAA0319L,0.160598839,0.286842135,0.213475285,0.199321187,0.220746048
KIAA0355,0.122907021,0.336746166,0.18711502,0.326205207,0.177251146
KIAA0391,0.007302191,0.039110399,0.024839971,0.020761983,0.013191473
KIAA0408,0.009602274,0.02498696,0.022478428,0.02505107,0.010831854
KIAA0513,0.140605775,0.882649046,0.414768844,0.111484026,0.135989257
KIAA0556,0.034558915,0.067299893,0.068329331,0.080842779,0.058870541
KIAA0586,0.356443227,0.49560357,0.384205333,0.305837436,0.286222211
KIAA0753,0.189625633,0.208817832,0.135427349,0.117818819,0.098633406
KIAA0825,0.120658665,0.127974341,0.110541781,0.091421969,0.05008663
KIAA0895,0.05165535,0.0967866,0.021405466,0.078118874,0.020668757
KIAA0895L,0.08037147,0.082611357,0.053212602,0.075118102,0.159622121
KIAA0930,0.075046882,0.118265739,0.13666436,0.176083407,0.146368285
KIAA1024,0.006743653,0.006156423,0.006928368,0.007497337,0.002046322
KIAA1109,0.8164356,1.126679944,1.149897691,0.876994307,0.743578731
KIAA1143,0.878395815,2.24832171,1.641258538,1.407240643,1.047446272
KIAA1147,0.05160567,0.053939309,0.065263972,0.055968398,0.063016286
KIAA1191,0.492051274,0.386353416,0.536037138,0.3240986,0.493755019
KIAA1210,0.399361719,0.856029676,2.00751662,2.670118813,0.506882686
KIAA1211,0.034463016,0.053389633,0.012414093,0.054030538,0.001691456
KIAA1211L,0.094331448,0.010943722,0.006287879,0.029980653,0.001948526
KIAA1217,0.495016603,0.512076747,0.40727721,0.622857774,0.221143724
KIAA1257,0.090714928,0.035418666,0.013090136,0.033221085,0.023821177
KIAA1324,0.079831936,0.058440348,0.392671069,0.11845732,0.369892778
KIAA1324L,0.15424092,0.068664813,0.099118012,0.087070094,0.04242467
KIAA1328,0.134880815,0.146252524,0.140339245,0.132395758,0.136317259
KIAA1468,0.136812651,0.077679497,0.125020445,0.185339645,0.112131128
KIAA1522,0.068485668,0.036159362,0.053571048,0.164248908,0.030184945
KIAA1549,0.024487146,0.03113577,0.012419461,0.02757424,0.030460085
KIAA1549L,0,0.001717222,0.001250283,0.016911997,0.000206182
KIAA1551,0.715609521,0.756189284,0.869725108,0.905489317,0.439395675
KIAA1586,0.650767039,0.739371582,0.641400338,0.609689323,0.343216495
KIAA1614,0,0.015104476,0.029454379,0.023921776,0.06434523
KIAA1614-AS1,0,0,0,0,0.003351487
KIAA1671,0.121397908,0.133597647,0.087022711,0.097901712,0.075688555
KIAA1755,0,0.030415225,0.052986782,0.012836599,0.089877122
KIAA1841,0.023153278,0.045992274,0.038696503,0.039631954,0.026983493
KIAA1958,0.21343068,0.130778882,0.287608148,0.312929979,0.262341523
KIAA2012,0.003536768,0.018927989,0,0.003626369,0
KIAA2013,0.066544265,0.127897852,0.130632251,0.18829785,0.213523283
KIAA2026,0.454473666,0.632171562,0.646717722,0.552441375,0.666823849
KIDINS220,0.859164246,1.272830019,1.423012457,1.053073464,0.972420527
KIF11,0.23917769,0.202800071,0.037645661,0.145684976,0.040949141
KIF12,0.01423747,0.006346305,0,0.005571434,0.001280204
KIF13A,0.175370513,0.399403931,0.236519164,0.35910959,0.348103248
KIF13B,0.490112654,0.551854937,0.437923901,0.561077445,0.342421193
KIF14,0.069427966,0.068659996,0.001461582,0.034201325,0.005798348
KIF15,0.068325106,0.072923767,0.008256006,0.045603207,0.007843584
KIF16B,0.294772728,0.380808168,0.292309558,0.27470589,0.238850799
KIF17,0.025129572,0.031297363,0.055496887,0.063234656,0.043400829
KIF18A,0.125099083,0.124530284,0.010005328,0.059243337,0.019047493
KIF1A,0.03529204,0.105551453,0.010303993,0.019303918,0.00786844
KIF1B,0.38598536,0.631377182,0.417428857,0.464486236,0.357936147
KIF1BP,0.617592054,0.391002747,0.483297696,0.497425165,0.337245657
KIF1C,0.215695741,0.278701014,0.153237043,0.229334782,0.265027442
KIF20A,0.049847233,0.011942536,0.00312304,0.012462114,0.002534646
KIF20B,0.392724951,0.35991397,0.212803022,0.281628352,0.178351594
KIF21A,0.195661258,0.150129264,0.156758845,0.405649368,0.046077323
KIF21B,0.016874221,0.018214063,0.001225257,0.01938676,0.009255173
KIF22,0.253056616,0.134048979,0.139724516,0.295815404,0.489798854
KIF23,0.091496166,0.083520536,0.010429134,0.045459739,0.013745729
KIF24,0.14232071,0.043407591,0.018492638,0.034384172,0.016053687
KIF25,0,0,0.001012003,0.001903747,0.003472827
KIF26A,0.043612803,0.017106009,0.003337971,0.033003235,0.003417063
KIF26B,0,0,0.001764788,0.005201591,0.001389867
KIF27,0.163628238,0.168535491,0.123623439,0.193279897,0.123786732
KIF28P,0,0.004187815,0.006736091,0,0
KIF2A,0.465553054,0.816252849,0.62465576,0.449048735,0.549919959
KIF2B,0.095175381,0,0,0.013353546,0.005941329
KIF2C,0.325383941,0.212155551,0.010463893,0.108836525,0.033283162
KIF3A,0.702542445,0.452194342,0.292267552,0.41863939,0.355866932
KIF3B,0.239818326,0.39253451,0.364146011,0.292210174,0.285445061
KIF3C,0,0.031114639,0.023424916,0.030287817,0.041704698
KIF4A,0.007762408,0.025409522,0.002982656,0.015912509,0.004214744
KIF4B,0,0,0.000605032,0.000510689,0.002110141
KIF5A,0,0.015309531,0.00085887,0.009308207,0.001407975
KIF5B,1.487888267,1.638171209,1.732603658,2.073323814,1.393574507
KIF5C,0.133411071,0.160994217,0.180982233,0.557625085,0.112109282
KIF6,0.00543274,0.018304027,0.009171444,0.019020319,0.013937946
KIF7,0,0.009484575,0.010236015,0.023175746,0.034155218
KIF9,0.158046257,0.284864189,0.091007328,0.236010667,0.151619154
KIF9-AS1,0.004262946,0.012891718,0.019719778,0.016931061,0.030951331
KIFAP3,1.149681687,1.659065098,1.419074884,1.091480699,0.878935246
KIFC1,0.023162831,0.075515814,0.007893439,0.037142718,0.008232224
KIFC2,0,0.008237776,0.004624619,0.023220328,0.029068789
KIFC3,0.113745884,0.097388443,0.090286308,0.10590462,0.131915064
KIN,0.543298303,0.372919321,0.504058685,0.557341643,0.429255271
KIRREL1,0.101610736,0.116831809,0.145606374,0.1427552,0.137181511
KIRREL3,0.009039204,0.00195632,0.006415293,0.007818414,0.033787893
KIRREL3-AS2,0.036290424,0,0,0.025619874,0.00126563
KIT,0.069763792,0.102100893,0.024560964,0.082420055,0.007678893
KITLG,0.104509975,0.185654713,0.600636862,0.498992053,0.201783342
KIZ,0.2585611,0.445970427,0.429359736,0.321069419,0.330636391
KL,0.01230697,0.007211262,0.001837538,0,0.001002928
KLB,0.011863409,0.013595203,0.000391993,0.000734001,0.000997116
KLC1,0.155537876,0.306691774,0.211723569,0.240614694,0.474868033
KLC2,0.049431016,0.034435134,0.035648597,0.067932529,0.18766515
KLC4,0.092281641,0.030997007,0.062714511,0.049503245,0.111692868
KLF10,1.016302712,1.165491303,2.244183652,1.13009973,1.30590278
KLF11,0.175160419,0.35401349,0.234174888,0.314108476,0.340843666
KLF12,0.225703987,0.316225344,0.468960704,0.247864219,0.476402908
KLF13,0.255655333,0.454012803,0.21733401,0.270356394,0.365914146
KLF14,0.003926595,0,0.002072113,0.00518785,0.00058991
KLF15,0.01739736,0.066783074,0.058039207,0.061599239,0.265511936
KLF16,0,0,0.011470049,0.027840143,0.028407241
KLF17,0.043692133,0,0,0.002054926,0.002138627
KLF2,0.004926594,0.17711945,0.179561351,0.219228388,1.455184652
KLF2P2,0,0.011401989,0.014650385,0,0
KLF3,0.857101267,0.845940684,0.791340528,0.567984266,0.684254451
KLF3-AS1,0.009232087,0.042645075,0.035015404,0.034841897,0.044292708
KLF4,0.383736022,0.820904088,1.061746524,0.822349673,3.525493464
KLF5,0.214924738,0.041260185,0.031671915,0.07948471,0.132689525
KLF6,1.150928413,0.854437321,1.073519832,0.717555551,0.946977754
KLF7,0.146139377,0.291187961,0.214329482,0.173477211,0.22448849
KLF8,0.034643114,0.076160312,0.179278025,0.053793444,0.135910821
KLF9,0.647949582,0.682655906,0.835367889,0.866827581,1.160531873
KLHDC1,0.06296486,0.152440327,0.2103008,0.147836045,0.21663532
KLHDC10,0.094029245,0.32482569,0.315970159,0.276782388,0.266546959
KLHDC2,0.305293951,0.404136813,0.256854168,0.614154529,1.108420712
KLHDC3,0.672435661,0.156505426,0.690726884,0.439663311,0.774330374
KLHDC4,0.075689064,0.080385801,0.061733171,0.071517307,0.070140111
KLHDC8A,0.024908691,0.248561443,0.217552279,0.135006422,0.553653145
KLHDC8B,0.168251128,0.044900079,0.142549002,0.133483602,0.241444009
KLHDC9,0.164865179,0.094763924,0.105231299,0.072996552,0.211900821
KLHL10,0.047421157,0.004180252,0,0.010810342,0.006047348
KLHL11,0.087314305,0.09515784,0.064713329,0.050477953,0.079756009
KLHL12,0.225470609,0.101464745,0.162013206,0.195134477,0.143529444
KLHL13,0.07254318,0.046462015,0.138781522,0.138279537,0.13028184
KLHL14,0.005736642,0.007068137,0.001038888,0.002477922,0.000313435
KLHL15,0.105950385,0.154940463,0.182904002,0.331190564,0.147587586
KLHL17,0.02201066,0.001690263,0.001778158,0.009888375,0.003043922
KLHL18,0.114674064,0.117066036,0.100702429,0.127957773,0.08681952
KLHL2,0.040992141,0.050439494,0.040010172,0.135259389,0.031920986
KLHL20,0.340639137,0.209324967,0.31265344,0.239162443,0.226625218
KLHL21,0.06845418,0.13514319,0.123400248,0.189059128,0.238236868
KLHL22,0.07749961,0.126752528,0.165761935,0.285650883,0.345120598
KLHL23,0.184145837,0.208935454,0.115109158,0.296643704,0.087326773
KLHL24,0.514106392,0.36249868,0.497721009,0.471477327,0.395252902
KLHL25,0.009760973,0.010237153,0.0075163,0.028154267,0.011350843
KLHL26,0.018338797,0.010973391,0.023914504,0.042008944,0.029491184
KLHL28,0.128260169,0.168810643,0.469807194,0.30349112,0.357651856
KLHL29,0,0,0.001878013,0.00203593,0.01491125
KLHL3,0.022568981,0.073048523,0.03282213,0.054039815,0.029020096
KLHL31,0.043056306,0.100688359,0.009274526,0.025840346,0.006038826
KLHL32,0.00271637,0.004003138,0.013269513,0.025675054,0.004160121
KLHL33,0,0,0.036945982,0.003491852,0.058803785
KLHL35,0.030322185,0.044071387,0.014193898,0.039921886,0.01211109
KLHL36,0.188027954,0.249101472,0.363222188,0.378161781,0.360153725
KLHL4,0.653668759,0.118011686,0.191365176,0.628192114,0.062639859
KLHL41,0,0.006557549,0.005140893,0.001934057,0.005425038
KLHL42,0.279915557,0.894900316,0.420558709,0.499696085,0.214614637
KLHL5,0.170258597,0.383492496,0.155930828,0.219727521,0.135795334
KLHL6,0,0,0.000787136,0,0.002479638
KLHL7,0.434280571,0.325299286,0.359551469,0.384046888,0.282868238
KLHL7-AS1,0,0.002379661,0.012150336,0.005889849,0.003576559
KLHL8,0.190022032,0.226265946,0.16330929,0.138093922,0.154419833
KLHL9,0.697584287,0.463399551,0.967527526,0.676314595,0.689971608
KLK1,0.033401069,0.013661442,0.003919631,0.006346268,0.005072582
KLK10,0.027345275,0.01973461,0.092091886,0.220605953,0.401429154
KLK11,0.242550869,0.012978254,0.010061876,0.029926936,0.005651468
KLK13,0.023252973,0.021506047,0.003916532,0,0.000413004
KLK15,0.035546403,0.002005471,0,0.000734001,0.00083243
KLK2,0,0.006587358,0.001397685,0.002642457,0.003221019
KLK4,0,0.012641794,0.007724927,0,0
KLK5,0.0235247,0.004561211,0.000327089,0.002785717,0.000206182
KLLN,0.004840009,0.006768384,0.017519564,0.014889884,0.016447335
KLRA1P,0,0.014333739,0.012005657,0.01301658,0.01449822
KLRB1,0,0,0.004663922,0.025455113,0.007002505
KLRC1,0,0.009612644,0.003822924,0,0
KLRD1,0,0.007816316,0.002117145,0.009975327,0.004127214
KLRF1,0,0.001998977,0.002713604,0.009984786,0.000470808
KLRG1,0.019083324,0.014165339,0.009049762,0.013341365,0.003472941
KMO,0.004897063,0.002844626,0.00043926,0.006392051,0.000423462
KMT2A,0.544470806,1.388903127,1.495894468,0.923887154,1.891088732
KMT2B,0.058821773,0.090356445,0.047069936,0.11347337,0.146138958
KMT2C,2.136035129,2.646734547,2.884560225,3.432638609,2.19944185
KMT2D,0.015363568,0.061535963,0.059084644,0.070643405,0.048944102
KMT2E,2.199489376,2.274205209,3.099192956,2.995820328,3.405433539
KMT2E-AS1,0.094697812,0.527410271,0.22962501,0.349375642,0.529233363
KMT5A,0.086485728,0.395754952,0.185143991,0.191280282,0.226470099
KMT5B,0.400061074,0.687351705,0.738768444,0.518476142,0.705749199
KMT5C,0.057963054,0.016892621,0.014065437,0.020068653,0.031563805
KNDC1,0.022748902,0.027208283,0.016391101,0.014192044,0.019594658
KNL1,0.488357824,0.604129813,0.005040464,0.309696917,0.028775321
KNOP1,0.335101028,0.340478084,0.307184882,0.539139909,0.573058255
KNSTRN,0.147196536,0.109204127,0.057736737,0.09040203,0.08199156
KNTC1,0.152868813,0.224788664,0.077216194,0.172607799,0.059272303
KPNA1,0.234559986,0.642597881,0.336814941,0.498769061,0.266695102
KPNA2,1.022433599,0.27115604,0.121579957,0.362464397,0.101035736
KPNA3,0.837175494,0.565505238,0.657100967,0.625134395,0.267431886
KPNA4,0.589809237,0.605592948,0.851006181,0.819671763,0.741607671
KPNA5,0.141768804,0.42452526,0.369434262,0.32271921,0.387856376
