subtype,gene_id,avg_logFC,p_val,p_val_adj,OA,Ctrl,pct.1,pct.2
LCs,AC005912.1,0.5784912,1.6186153019863494e-08,5.296849990356177e-06,0.9743048483390314,0.3958136133527,0.4743589743589743,0.1414634146341463
LCs,AC010325.1,0.318799,4.269994016999509e-08,1.2607632179772316e-05,0.4854778224323001,0.1666788432606856,0.2564102564102564,0.0341463414634146
LCs,AC010642.2,0.5539114,1.2483248169405722e-08,4.191657635318278e-06,0.6316802903153234,0.0777689244916549,0.2564102564102564,0.0341463414634146
LCs,AC010980.1,0.5147688,1.2260010623169085e-11,7.760988692027445e-09,0.5827525708645473,0.0679837690602306,0.282051282051282,0.0195121951219512
LCs,AC015917.2,0.5583486,6.346262522010822e-14,5.5695665292601794e-11,0.5583486250617777,0.0,0.2564102564102564,0.0
LCs,AC073861.1,0.4083106,4.925947816784326e-06,0.0008198942885565,0.6681510986074704,0.2598405074856496,0.3461538461538461,0.1121951219512195
LCs,AC092069.1,0.3051383,1.895451027921006e-07,4.632458319187952e-05,0.3051382776540868,0.0,0.1282051282051282,0.0
LCs,AC244517.11,0.3241813,2.350532426336726e-09,9.07658096429927e-07,0.3241813021616708,0.0,0.1666666666666666,0.0
LCs,ACAA1,0.2816078,1.082546138659228e-05,0.001644320448348,0.302772250775624,0.0211644329532341,0.1282051282051282,0.0097560975609756
LCs,ACAA2,0.39219382,0.0004495656490511,0.0339725587829933,1.4693162920894074,1.077122479247809,0.6282051282051282,0.4048780487804878
LCs,ACAT2,1.4623966,3.138340859012793e-17,4.1788631817509997e-14,1.944280677231531,0.4818840690293069,0.6410256410256411,0.1658536585365853
LCs,ACO2,0.34563148,5.460305292072118e-09,2.0080922747939507e-06,0.3589340519687731,0.0133025841631459,0.1794871794871795,0.0048780487804878
LCs,ACOT13,0.41576084,0.000125874693744,0.0122743719669887,0.6712661896209005,0.2555053517898769,0.2948717948717949,0.1073170731707317
LCs,ACSL6,0.32141462,3.872441229055274e-07,8.900852265474369e-05,0.3311358230513116,0.0097212107493898,0.141025641025641,0.0048780487804878
LCs,ACSM3,1.2550144,2.6201677667723376e-08,8.159498251122082e-06,2.8309553887466774,1.5759409774484503,0.7051282051282052,0.4146341463414634
LCs,ADIRF,2.9287949,2.417664151815436e-45,4.667905061117653e-41,2.9287947856139107,0.0,0.782051282051282,0.0
LCs,ADRM1,0.32221347,0.0007783107662866,0.0498587907440592,0.5445887048536491,0.2223752339950481,0.2435897435897435,0.0926829268292682
LCs,AES,0.5664189,1.334270220669527e-06,0.000261537282087,0.8074462110882346,0.2410273133550441,0.3205128205128205,0.0878048780487804
LCs,AGL,0.57211906,2.8133933782276288e-05,0.0035387356775328,1.1117313243089495,0.5396122952717579,0.4358974358974359,0.1951219512195122
LCs,AGPAT1,0.25286013,1.659081066962423e-05,0.0022962514480556,0.4302419157135339,0.1773817923814339,0.2051282051282051,0.0390243902439024
LCs,AKAP7,0.40365198,0.0004801792853908,0.0355948649083844,0.7784927701966664,0.3748407958749318,0.3461538461538461,0.1609756097560975
LCs,AL078639.1,0.36092782,1.895451027921006e-07,4.632458319187952e-05,0.3609278227196348,0.0,0.1282051282051282,0.0
LCs,ALAS1,0.4213484,6.583964225900599e-05,0.0070053326882812,1.77664692605783,1.355298542744052,0.6025641025641025,0.2926829268292683
LCs,ALDOC,0.3687032,0.0001886715864507,0.01664959662254,0.5904113287109074,0.2217081377435402,0.2435897435897435,0.0780487804878048
LCs,AMHR2,0.3309295,0.0006647862602683,0.0446447329395865,0.5310775323240885,0.2001480525816084,0.2051282051282051,0.0634146341463414
LCs,ANAPC15,0.33518744,2.938931723498897e-05,0.0036490948071675,0.4151413738872085,0.0799539300384955,0.1794871794871795,0.0341463414634146
LCs,ANKRD7,0.63957477,1.4978453827408414e-07,3.855953296969173e-05,1.3490694382535462,0.7094946856156479,0.4743589743589743,0.1560975609756097
