ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio,neg_log10_pvalue
BP,GO:0150115,cell-substrate junction organization,101/18723,2.8541607134e-06,0.000437519052694,0.0003597744688753,ACTG1/ITGA6/SLK/RAC1/MACF1/S100A10/MAP4K4/PIK3R1/DST/IQGAP1,10,10/281,5.544521576078529
BP,GO:0019885,antigen processing and presentation of endogenous peptide antigen via MHC class I,17/18723,3.9226150924e-06,0.0005772520370098,0.0004746777168756,TAPBP/HLA-C/B2M/HLA-E/HLA-B,5,5/281,5.406424305035879
BP,GO:0000723,telomere maintenance,131/18723,4.6184855387e-06,0.0006535157037386,0.0005373897748372,SMC6/HSP90AA1/HSP90AB1/DHX36/ATRX/SMC5/PPP1R10/XRCC5/RIF1/PARP1/PRKDC,11,11/281,5.33550041189229
BP,GO:0009410,response to xenobiotic stimulus,462/18723,7.168209778e-06,0.0009449432841487,0.0007770323739698,MAP1B/LGALS1/MEF2C/PTN/TXN2/HSP90AB1/B2M/PLIN2/EDN1/STAT3/TXNIP/GSTA1/S100A10/ABCA1/CDKN1B/FZD3/XRCC5/USP47/FABP3/TSPO/GSTP1,21,21/281,5.14458929351129
BP,GO:0002483,antigen processing and presentation of endogenous peptide antigen,19/18723,7.1917401348e-06,0.0009449432841487,0.0007770323739698,TAPBP/HLA-C/B2M/HLA-E/HLA-B,5,5/281,5.143166013719401
BP,GO:1902904,negative regulation of supramolecular fiber organization,167/18723,8.5904886904e-06,0.0009858557591108,0.0008106749407546,MAP1B/CRYAB/RDX/PAK2/TAOK1/SPTAN1/TMSB4X/SPTBN1/PFN1/PIK3R1/SVIL/CGNL1,12,12/281,5.065982129590504
BP,GO:0071241,cellular response to inorganic substance,226/18723,8.5945512152e-06,0.0009858557591108,0.0008106749407546,CLDN1/MEF2C/MT2A/DAXX/B2M/EDN1/ATRX/SYT11/CDKN1B/MT1E/PARP1/TSPO/MT1X/IQGAP1,14,14/281,5.065776796097443
BP,GO:0031032,actomyosin structure organization,196/18723,8.6825590075e-06,0.0009858557591108,0.0008106749407546,ACTG1/MYH9/MYOZ2/PAK2/EDN1/RAC1/CDC42/S100A10/CFL2/PFN1/RHOC/PIK3R1/CGNL1,13,13/281,5.061352256500406
BP,GO:0051492,regulation of stress fiber assembly,91/18723,9.0920336857e-06,0.0009858557591108,0.0008106749407546,ACTG1/PAK2/RAC1/CDC42/S100A10/PFN1/RHOC/PIK3R1/CGNL1,9,9/281,5.041338963896635
BP,GO:0018023,peptidyl-lysine trimethylation,50/18723,9.1552192034e-06,0.0009858557591108,0.0008106749407546,LMNA/SETD2/RTF1/ATRX/SETD5/BRD4/KMT2A,7,7/281,5.038331252925654
BP,GO:0071248,cellular response to metal ion,197/18723,9.1730825274e-06,0.0009858557591108,0.0008106749407546,CLDN1/MEF2C/MT2A/DAXX/B2M/EDN1/SYT11/CDKN1B/MT1E/PARP1/TSPO/MT1X/IQGAP1,13,13/281,5.03748469926105
BP,GO:0034341,response to interferon-gamma,141/18723,9.3788941475e-06,0.0009858557591108,0.0008106749407546,ACTG1/CLDN1/GBP2/HSP90AB1/JAK1/IFITM3/EDN1/CDC42/IFNGR1/SYNCRIP/VIM,11,11/281,5.027848365666902
BP,GO:0150116,regulation of cell-substrate junction organization,71/18723,1.09353625862e-05,0.0011175333042983,0.0009189541541761,ACTG1/SLK/RAC1/MACF1/S100A10/MAP4K4/PIK3R1/IQGAP1,8,8/281,4.961166812390841
