panel_celltype,group,pathway,pathway_readable,setSize,NES,pvalue,p.adjust,qvalues,rank,leading_edge,neglog10_fdr
EC,OA,Interferon_gamma_response,Interferon Gamma Response,137,1.444780595,0.023516437,0.146977732,0.11139365,1613,"tags=30%, list=16%, signal=25%",0.8327484584632738
EC,OA,E2f_targets,E2f Targets,158,1.37571215,0.037586549,0.15351217,0.116346066,2696,"tags=41%, list=27%, signal=30%",0.8138571892139278
EC,OA,Tnfa_signaling_via_nfkb,Tnfa Signaling Via Nfkb,120,1.400216395,0.031512666,0.15351217,0.116346066,1434,"tags=31%, list=15%, signal=27%",0.8138571892139278
EC,iNOA_B,Spermatogenesis,Spermatogenesis,87,-2.487250462,1e-10,5e-09,4.42e-09,696,"tags=31%, list=8%, signal=29%",8.301029995663981
EC,iNOA_B,Epithelial_mesenchymal_transition,Epithelial Mesenchymal Transition,91,1.972362664,1.32e-05,0.000330868,0.000292557,1131,"tags=38%, list=13%, signal=34%",3.480345233733003
EC,iNOA_B,Mitotic_spindle,Mitotic Spindle,149,1.570028386,0.000872255,0.014537589,0.012854289,1763,"tags=35%, list=20%, signal=28%",1.837507613478245
EC,iNOA_B,Allograft_rejection,Allograft Rejection,69,-1.640822657,0.006057654,0.075720669,0.066953013,1232,"tags=28%, list=14%, signal=24%",1.120785557654293
EC,iNOA_B,Fatty_acid_metabolism,Fatty Acid Metabolism,99,-1.570065403,0.012347148,0.123471482,0.109174784,1743,"tags=38%, list=20%, signal=31%",0.9084333390862616
EC,iNOA_B,Mtorc1_signaling,Mtorc1 Signaling,144,-1.495429586,0.017534776,0.146123137,0.129203616,2193,"tags=43%, list=25%, signal=33%",0.8352810128414124
EC,iNOA_B,Reactive_oxygen_species_pathway,Reactive Oxygen Species Pathway,36,-1.607541115,0.023894842,0.170677444,0.150914793,1699,"tags=42%, list=20%, signal=34%",0.7678238695917716
EC,iNOA_B,Tnfa_signaling_via_nfkb,Tnfa Signaling Via Nfkb,105,1.314657576,0.029819383,0.186371142,0.164791326,1507,"tags=33%, list=17%, signal=28%",0.7296213336151561
EC,iNOA_B,Tgf_beta_signaling,Tgf Beta Signaling,39,-1.432167098,0.068775791,0.382087727,0.33784599,766,"tags=28%, list=9%, signal=26%",0.4178369120152792
EC,iNOA_B,Coagulation,Coagulation,54,-1.382546757,0.076612903,0.383064516,0.338709677,760,"tags=26%, list=9%, signal=24%",0.4167280756836571
EC,iNOA_S,Epithelial_mesenchymal_transition,Epithelial Mesenchymal Transition,116,2.388008288,1.13e-10,2.84e-09,1.67e-09,582,"tags=36%, list=6%, signal=34%",8.546681659952963
EC,iNOA_S,Spermatogenesis,Spermatogenesis,87,-2.517417852,1e-10,2.84e-09,1.67e-09,1241,"tags=56%, list=13%, signal=49%",8.546681659952963
EC,iNOA_S,Interferon_alpha_response,Interferon Alpha Response,78,2.19622824,7.68e-07,1.28e-05,7.55e-06,1365,"tags=45%, list=15%, signal=39%",4.892790030352131
EC,iNOA_S,Myogenesis,Myogenesis,98,2.039919896,2.15e-05,0.000268364,0.000158193,813,"tags=32%, list=9%, signal=29%",3.5712757435327123
EC,iNOA_S,Apoptosis,Apoptosis,117,1.821993753,5.59e-05,0.000489573,0.00028859,955,"tags=25%, list=10%, signal=23%",3.310182541586248
EC,iNOA_S,Hypoxia,Hypoxia,121,1.789907811,5.87e-05,0.000489573,0.00028859,903,"tags=26%, list=10%, signal=24%",3.310182541586248
EC,iNOA_S,Interferon_gamma_response,Interferon Gamma Response,141,1.785853692,8.69e-05,0.000620885,0.000365995,1164,"tags=31%, list=12%, signal=28%",3.206988832175146
EC,iNOA_S,Uv_response_dn,Uv Response Dn,104,1.872950597,0.000204707,0.001279418,0.000754183,1541,"tags=44%, list=16%, signal=37%",2.8929875435311625
EC,iNOA_S,Bile_acid_metabolism,Bile Acid Metabolism,49,1.934422512,0.000232113,0.001289519,0.000760137,1123,"tags=31%, list=12%, signal=27%",2.889572254507536
EC,iNOA_S,Fatty_acid_metabolism,Fatty Acid Metabolism,106,1.782528626,0.000331936,0.001659678,0.000978336,1616,"tags=32%, list=17%, signal=27%",2.779976162796088
Immune,AZFc_Del,HALLMARK_MYOGENESIS,Myogenesis,195,1.849760107,7.26e-07,3.63e-05,3.06e-05,2287,"tags=26%, list=7%, signal=24%",4.440093374963888
Immune,AZFc_Del,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,197,1.670824944,0.000144874,0.003352744,0.002823363,2287,"tags=32%, list=7%, signal=30%",2.4745996060199813
Immune,AZFc_Del,HALLMARK_KRAS_SIGNALING_DN,Kras Signaling Dn,166,1.665629507,0.000201165,0.003352744,0.002823363,4145,"tags=19%, list=13%, signal=17%",2.4745996060199813
Immune,AZFc_Del,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling Via Nfkb,198,1.587570116,0.001002964,0.012537053,0.010557518,1968,"tags=33%, list=6%, signal=31%",1.9018045381664723
Immune,AZFc_Del,HALLMARK_SPERMATOGENESIS,Spermatogenesis,131,-1.608241238,0.001319381,0.013193808,0.011110575,3466,"tags=31%, list=11%, signal=27%",1.8796298401848703
Immune,AZFc_Del,HALLMARK_UV_RESPONSE_DN,Uv Response Dn,140,1.578653575,0.002483702,0.02069752,0.017429491,3335,"tags=44%, list=11%, signal=39%",1.6840816890763783
Immune,AZFc_Del,HALLMARK_COAGULATION,Coagulation,126,1.554357403,0.00431506,0.030821854,0.025955246,1530,"tags=26%, list=5%, signal=25%",1.5111412410961116
Immune,AZFc_Del,HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,195,1.395340343,0.017094885,0.106843031,0.089973079,4055,"tags=38%, list=13%, signal=33%",0.9712538000974736
Immune,AZFc_Del,HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,187,1.346423141,0.029717118,0.165095101,0.139027454,3694,"tags=28%, list=12%, signal=25%",0.782265813716211
Immune,AZFc_Del,HALLMARK_HYPOXIA,Hypoxia,197,1.320841397,0.042521994,0.212609971,0.179039975,3356,"tags=33%, list=11%, signal=30%",0.6724163717565842
Immune,KS,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling Via Nfkb,198,2.127280643,1e-10,5e-09,3.58e-09,1448,"tags=48%, list=5%, signal=46%",8.301029995663981
Immune,KS,HALLMARK_SPERMATOGENESIS,Spermatogenesis,131,-1.747435469,1.16e-05,0.000288806,0.000206724,4658,"tags=46%, list=15%, signal=39%",3.53939378845758
Immune,KS,HALLMARK_PROTEIN_SECRETION,Protein Secretion,93,-1.753226715,5.69e-05,0.000949136,0.000679382,2954,"tags=57%, list=10%, signal=52%",3.022671553834303
Immune,KS,HALLMARK_HYPOXIA,Hypoxia,197,1.634948504,0.000277932,0.002779321,0.001989409,2699,"tags=34%, list=9%, signal=31%",2.5560612911219343
Immune,KS,HALLMARK_MYOGENESIS,Myogenesis,195,1.616592109,0.000226134,0.002779321,0.001989409,3298,"tags=31%, list=11%, signal=28%",2.5560612911219343
Immune,KS,HALLMARK_UV_RESPONSE_UP,Uv Response Up,152,1.629996903,0.000647623,0.005396855,0.003863012,1705,"tags=26%, list=6%, signal=25%",2.2678592501848933
Immune,KS,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,182,1.592395908,0.00077727,0.005551931,0.003974014,1352,"tags=31%, list=4%, signal=30%",2.255555939978537
Immune,KS,HALLMARK_P53_PATHWAY,P53 Pathway,191,1.472803007,0.002702898,0.01689311,0.012091911,1563,"tags=22%, list=5%, signal=21%",1.7722903900083826
Immune,KS,HALLMARK_ANGIOGENESIS,Angiogenesis,34,-1.559013985,0.004393465,0.023864288,0.017081806,3011,"tags=35%, list=10%, signal=32%",1.622251518443511
Immune,KS,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,197,1.478588608,0.004772858,0.023864288,0.017081806,2208,"tags=38%, list=7%, signal=36%",1.622251518443511
Immune,OA,HALLMARK_G2M_CHECKPOINT,G2m Checkpoint,193,1.571902313,0.000131499,0.00657494,0.006228891,3446,"tags=46%, list=11%, signal=41%",2.1821082059998487
Immune,OA,HALLMARK_E2F_TARGETS,E2f Targets,198,1.475948344,0.00040123,0.010030759,0.009502824,3903,"tags=48%, list=13%, signal=42%",1.998666203864889
Immune,OA,HALLMARK_KRAS_SIGNALING_DN,Kras Signaling Dn,166,1.42594344,0.008903523,0.148392048,0.14058194,2260,"tags=9%, list=7%, signal=8%",0.8285893713093596
Immune,OA,HALLMARK_IL6_JAK_STAT3_SIGNALING,Il6 Jak Stat3 Signaling,84,-1.402899048,0.014280832,0.178510398,0.169115114,1745,"tags=37%, list=6%, signal=35%",0.7483364817226525
Immune,OA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling Via Nfkb,198,1.243336845,0.025150934,0.251509339,0.238272005,1972,"tags=26%, list=6%, signal=24%",0.5994458841632644
Immune,OA,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,182,-1.237942794,0.058601134,0.488342785,0.462640533,3151,"tags=29%, list=10%, signal=26%",0.3112752243634158
Immune,OA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,190,-1.21142177,0.069811321,0.498652291,0.472407434,3844,"tags=46%, list=12%, signal=41%",0.302202181303586
Immune,OA,HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,198,1.181951009,0.097613883,0.610086768,0.577976938,3446,"tags=36%, list=11%, signal=32%",0.2146083941961097
Immune,OA,HALLMARK_ANGIOGENESIS,Angiogenesis,34,-1.24450719,0.140035907,0.638332256,0.604735821,732,"tags=21%, list=2%, signal=20%",0.1949532093867963
Immune,OA,HALLMARK_HEME_METABOLISM,Heme Metabolism,185,1.164733819,0.117521368,0.638332256,0.604735821,2758,"tags=24%, list=9%, signal=22%",0.1949532093867963
Immune,iNOA_B,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling Via Nfkb,198,1.81523716,1.96e-07,9.81e-06,5.58e-06,2651,"tags=42%, list=9%, signal=39%",5.008330992620052
Immune,iNOA_B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,190,-1.772508855,7.49e-06,0.000187158,0.000106385,2668,"tags=47%, list=9%, signal=43%",3.727791604394608
Immune,iNOA_B,HALLMARK_G2M_CHECKPOINT,G2m Checkpoint,193,1.664575669,1.78e-05,0.000297483,0.000169095,3622,"tags=42%, list=12%, signal=38%",3.5265378474720483
Immune,iNOA_B,HALLMARK_KRAS_SIGNALING_DN,Kras Signaling Dn,166,1.602408955,0.000131275,0.001312753,0.000746196,4689,"tags=21%, list=15%, signal=18%",2.8818169805579825
Immune,iNOA_B,HALLMARK_SPERMATOGENESIS,Spermatogenesis,131,-1.711751011,0.000113608,0.001312753,0.000746196,3478,"tags=31%, list=11%, signal=28%",2.8818169805579825
