gene,ctrl,disease,log2fc
MYCNUT,0.0,0.0002407930377614,7.917628893701255
MYCT1,0.0153508238981428,0.0048375682250373,-1.6657579578932333
MYD88,0.035622183150576,0.1030183347558753,1.532026788056118
MYDGF,1.0243337065771718,1.2434538485474511,0.2796669220672914
MYEF2,1.3915713631320072,1.6713979429758514,0.2643401964050215
MYEOV,0.0035278541691008,0.0128327159025806,1.8626672353562383
MYF6,0.0,0.0005693515050563,9.155707509584104
MYH1,0.0559744347277036,0.0136271834461889,-2.038200555170043
MYH10,0.15650627776598,0.139858269157347,-0.16225387423957127
MYH11,0.0894098684637197,0.1188902753777785,0.41112073338631777
MYH13,0.008402107511266,0.0034619281473961,-1.2789304891816
MYH14,0.0039540320872215,0.0039606318230023,0.0024054092470827725
MYH15,0.0031026507585659,0.0195499064763857,2.6551973684809425
MYH16,0.0294438287446444,0.0183181895789128,-0.6846586010459855
MYH2,0.0068224632441617,0.0040345282787722,-0.7577466193302863
MYH3,0.0936961091761812,0.1470485806951282,0.6502262280394827
MYH4,0.0094681895285956,0.0180815343525061,0.9332840371482254
MYH6,0.0,0.0033080530440052,11.692202702849224
MYH7,0.0091640961508329,0.0046713882256293,-0.9719898643587424
MYH7B,0.0293884559516027,0.030190058002402,0.03882266240154741
MYH8,0.0369651048671371,0.0241371252771098,-0.6148894027771225
MYH9,0.041484122397793,0.0381929484909044,-0.11924996919283674
MYHAS,0.0128819146082747,0.0090127316465205,-0.5152626187822696
MYL1,0.0,0.0024394338718771,11.252921944401258
MYL10,0.0,0.0003196267541852,8.32475100366359
MYL12A,0.5284440568849877,0.7180857504583269,0.44240466280757196
MYL12AP1,0.0,0.0001449935454258,7.1897607767701945
MYL12B,1.7398185219357127,1.9610883357099955,0.17271760011976092
MYL12BP1,0.0012522813516926,0.0006719895708559,-0.8970542715254618
MYL12BP2,0.0013384736025016,0.0,-10.387450434401323
MYL2,0.0018617531422638,0.0001473079954847,-3.6507682139500073
MYL3,0.0019059697599086,0.0013267721398061,-0.5222743803465202
MYL4,0.0220286172333568,0.0547559202412703,1.3135968773645323
MYL5,0.156644067868611,0.1997241424095469,0.3505166122675161
MYL6,0.438454236239879,0.5296556019467289,0.2726277452027507
MYL6B,0.4030784561003943,1.018919248334729,1.3379049752770094
MYL6P2,0.0,0.0,0.0
MYL7,0.0011061689126903,0.0009114292974924,-0.2790906639006997
MYL9,0.1094609602912976,0.1436414348652706,0.39205241498370735
MYLIP,0.3505161971538471,0.3438786102152378,-0.027581651668202926
MYLK,1.379779647575328,0.2760825724836425,-2.3212619785143453
MYLK-AS1,0.3861800992922385,0.6192364758269743,0.6812152282704782
MYLK-AS2,0.0,0.000456842969829,8.838709059942326
MYLK2,0.0,0.0023079469112875,11.17301928683312
MYLK3,0.023224926055619,0.0114131748934394,-1.0249095464042728
MYLK4,0.0117623937197129,0.0079477415345118,-0.5655059630196129
