names	scores	logfoldchanges	pvals	pvals_adj	pct_nz_group	pct_nz_reference	mean
PRICKLE1	-0.9996667504310608	-0.13871073722839355	0.3174717977205421	1.0	0.0296137339055794	0.07692307692307693	0.1307381108796368
RBM27	-1.0002113580703735	-0.4178886413574219	0.317208244958025	1.0	0.08483547925608012	0.15384615384615385	0.3661506525442144
THAP6	-1.0003241300582886	-0.29960164427757263	0.3171536769713945	1.0	0.08054363376251789	0.15384615384615385	0.34538327154582066
FAM43A	-1.0008513927459717	-0.3485913872718811	0.3168986577636189	1.0	0.030901287553648068	0.07692307692307693	0.11692064256191909
SOX12	-1.0012593269348145	-0.338452011346817	0.3167014454834328	1.0	0.030758226037195996	0.07692307692307693	0.12706001957858853
ZBTB41	-1.0015537738800049	-0.4894154965877533	0.31655912778400663	1.0	0.14549356223175966	0.23076923076923078	0.6266623840926592
TRBC2	-1.0015841722488403	-0.415582537651062	0.316544472395183	1.0	0.3776824034334764	0.46153846153846156	1.5071472020545427
BOD1L1	-1.001850962638855	-0.40545088052749634	0.3164155509508464	1.0	0.2017167381974249	0.3076923076923077	0.8947615333560438
ZNF684	-1.0020979642868042	-0.3134619891643524	0.3162962858118026	1.0	0.030472103004291845	0.07692307692307693	0.1520500326223201
JOSD1	-1.003135085105896	-0.09201642870903015	0.3157956721748705	1.0	0.12818311874105864	0.23076923076923078	0.5197451890959524
TIMM23	-1.003289818763733	-0.13538065552711487	0.31572105557241426	1.0	0.12947067238912732	0.23076923076923078	0.530966066942517
FNTB	-1.0034021139144897	-0.14121538400650024	0.3156668921315442	1.0	0.0296137339055794	0.07692307692307693	0.1282334600928349
ATP6V1B2	-1.003901481628418	-0.30727019906044006	0.3154260886448802	1.0	0.08040057224606581	0.15384615384615385	0.3377147144525808
SSRP1	-1.0050252676010132	-0.30851754546165466	0.3148846632636324	1.0	0.21144492131616596	0.3076923076923077	0.8108776432599886
COIL	-1.0050444602966309	-0.4529290497303009	0.3148754237597676	1.0	0.13719599427753934	0.23076923076923078	0.6689112129808612
MINDY2	-1.0059807300567627	-0.354218453168869	0.3144248426279601	1.0	0.08340486409155937	0.15384615384615385	0.36754011378194107
NAXD	-1.0060324668884277	-0.2804979383945465	0.31439996895722444	1.0	0.08168812589413448	0.15384615384615385	0.31718665255147604
HACD4	-1.0067085027694702	-0.12692096829414368	0.3140748733092208	1.0	0.029327610872675252	0.07692307692307693	0.14252788425252952
SCAMP1	-1.0080918073654175	-0.4432063102722168	0.31341037057727184	1.0	0.20243204577968527	0.3076923076923077	0.7761438490217083
CDK16	-1.0084160566329956	-0.37186089158058167	0.31325477203096685	1.0	0.08397711015736767	0.15384615384615385	0.34825814958866996
XPNPEP3	-1.009886622428894	-0.4202577471733093	0.3125495927646914	1.0	0.07811158798283262	0.15384615384615385	0.3317735070570468
RFX5	-1.010028600692749	-0.12914511561393738	0.31248159392930897	1.0	0.029184549356223177	0.07692307692307693	0.1195378418913387
DNM2	-1.0101596117019653	-0.30174946784973145	0.3124188504622434	1.0	0.08254649499284693	0.15384615384615385	0.34460104192857927
URB1-AS1	-1.011806607246399	-0.18344570696353912	0.3116305418868671	1.0	0.0296137339055794	0.07692307692307693	0.14605830066018952
SYNC	-1.0118345022201538	-0.14175468683242798	0.31161721747300064	1.0	0.029470672389127324	0.07692307692307693	0.12769416997991173
RNFT1	-1.0119061470031738	0.021507233381271362	0.31158290956288626	1.0	0.028183118741058655	0.07692307692307693	0.11680385100557614
AMIGO2	-1.0122138261795044	-0.060405388474464417	0.3114358114915836	1.0	0.028469241773962803	0.07692307692307693	0.12428120571710724
IFITM2	-1.012873888015747	-0.26183411478996277	0.31112037438667317	1.0	0.8895565092989985	0.9230769230769231	3.516748251106926
