ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,neg_log10_pvalue
CC,GO:0036038,MKS complex,3/1429,13/19550,0.0641609492864553,0.191595830127295,0.140055431379602,AHI1/TMEM107/MKS1,3,1.192729219118852
CC,GO:0008023,transcription elongation factor complex,7/1429,50/19550,0.0699863668160824,0.208032870168905,0.152070811526978,ZC3H8/PAF1/ELOC/WDR61/ELOA/SUPT16H/LEO1,7,1.1549865513170217
CC,GO:0055038,recycling endosome membrane,11/1429,92/19550,0.0719108581140017,0.212165968714523,0.155092082393658,RAB11A/HLA-A/PDIA3/RAB8B/RAB10/PLEKHB2/RAB13/SCAMP3/RAB14/RAB4A/SCAMP2,11,1.1432055287692506
CC,GO:0000242,pericentriolar material,4/1429,22/19550,0.0723590726634409,0.212165968714523,0.155092082393658,PCM1/CDK5RAP2/CEP85/DYRK3,4,1.1405070075907087
CC,GO:0005742,mitochondrial outer membrane translocase complex,4/1429,22/19550,0.0723590726634409,0.212165968714523,0.155092082393658,MTX2/TOMM7/TOMM70/TOMM20,4,1.1405070075907087
CC,GO:0032391,photoreceptor connecting cilium,6/1429,41/19550,0.0756884041400783,0.219937604855474,0.160773102964528,CETN3/ARL3/RPGRIP1L/NPHP1/CETN1/TMEM237,6,1.1209706515927857
CC,GO:0046540,U4/U6 x U5 tri-snRNP complex,6/1429,41/19550,0.0756884041400783,0.219937604855474,0.160773102964528,SNRPD1/PRPF6/LSM8/LSM3/SNU13/PRPF3,6,1.1209706515927857
CC,GO:0008278,cohesin complex,3/1429,14/19550,0.0773718277377893,0.223825644527176,0.163615237227468,SGO2/SMC3/STAG3L2,3,1.1114171437775224
CC,GO:0070603,SWI/SNF superfamily-type complex,9/1429,72/19550,0.0783649824529926,0.225691149464619,0.164978910427353,DPF2/BRD8/INO80C/RBBP4/SMARCA5/SMARCA2/ANP32E/ING3/CSNK2A1,9,1.1058779593152464
CC,GO:0097225,sperm midpiece,5/1429,32/19550,0.0805326505595269,0.230907776825546,0.168792234521598,NME8/FSIP2/SPEF2/CCDC172/IFT27,5,1.0940280068006203
CC,GO:0071682,endocytic vesicle lumen,4/1429,23/19550,0.0827447058154398,0.235169163896513,0.171907283550083,HSP90B1/CTSL/HSPH1/HSP90AA1,4,1.0822597837600274
