gene,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expression,neg_log10_pvals,neg_log10_pvals_adj
ENY2,1.103480100631714,0.3051901161670685,0.2698187358368219,1.0,0.3236051502145923,0.1538461538461538,1.2803278183283493,0.5689278968137343,-0.0
XAF1,1.1031832695007324,0.4070389568805694,0.2699475804114478,1.0,0.0858369098712446,0.0,0.4070389513011438,0.5687205608345836,-0.0
OCEL1,1.1031832695007324,0.3755628764629364,0.2699475804292034,1.0,0.0858369098712446,0.0,0.375562868033548,0.5687205608060181,-0.0
ZNF609,1.1031832695007324,0.3724089860916137,0.2699475806245158,1.0,0.0858369098712446,0.0,0.3724089781699845,0.5687205604917974,-0.0
YEATS4,1.1021826267242432,0.3895551562309265,0.2703822766225824,1.0,0.0856938483547925,0.0,0.3895551578114501,0.568021779510282,-0.0
DIMT1,1.1014902591705322,0.6161296367645264,0.2706833392351064,1.0,0.1816881258941344,0.0769230769230769,0.7114262291682966,0.5675384745617202,-0.0
CHD9,1.1014007329940796,0.5644256472587585,0.270722310373974,1.0,0.3723891273247496,0.2307692307692307,1.4275565357214577,0.5674759523083779,-0.0
PRMT1,1.1012752056121826,0.3407696485519409,0.270776907097534,1.0,0.3989985693848354,0.2307692307692307,1.40331129305766,0.5673883767216091,-0.0
MGST2,1.101192593574524,0.5717531442642212,0.2708128477837896,1.0,0.1852646638054363,0.0769230769230769,0.7564397479326339,0.5673307358907076,-0.0
UMPS,1.1011813879013062,0.3789508640766144,0.2708177238189456,1.0,0.0855507868383404,0.0,0.3789508589435387,0.5673229164090429,-0.0
PARP16,1.1011813879013062,0.3584272265434265,0.270817723854579,1.0,0.0855507868383404,0.0,0.3584272204910791,0.5673229163518997,-0.0
CCDC130,1.1011813879013062,0.3631240725517273,0.2708177240327469,1.0,0.0855507868383404,0.0,0.3631240632600792,0.5673229160661822,-0.0
SKIL,1.1009680032730105,0.4286873340606689,0.2709105667668728,1.0,0.2110157367668097,0.0769230769230769,0.8577347599888526,0.56717405514016,-0.0
CEP295,1.1001794338226318,0.4298940598964691,0.2712539239822452,1.0,0.0854077253218884,0.0,0.4298940563583558,0.5666239705572027,-0.0
TRAF3IP1,1.1001794338226318,0.381188154220581,0.2712539240179401,1.0,0.0854077253218884,0.0,0.3811881685614477,0.566623970500053,-0.0
SDHC,1.0984795093536377,0.1819295287132263,0.271995160047861,1.0,0.3114449213161659,0.1538461538461538,1.0932841869499148,0.5654388238452424,-0.0
YKT6,1.0981738567352295,0.3638100922107696,0.2721285885271953,1.0,0.0851216022889842,0.0,0.3638100994181987,0.5652258309236253,-0.0
