ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio,panel,comparison,neg_log10_pvalue
CC,GO:0030027,lamellipodium,202/19550,0.0018862381498204,0.0233794254885634,0.0186011296768992,CD44/DBNL/ACTR3/DYNLT1/ABI2/CORO1C/ABLIM1/CAPZB/ACTR2/PARVA/CAPG/ARPIN,12,12/433,F,LCa_ctrl_vs_disease,2.724403475637176
CC,GO:0001527,microfibril,12/19550,0.0020453032944538,0.0247009705560964,0.0196525768643878,MFAP5/FBN2/FBN1,3,3/433,F,LCa_ctrl_vs_disease,2.68924228211092
CC,GO:0012507,ER to Golgi transport vesicle membrane,62/19550,0.0024607194857539,0.0289749719447521,0.0230530562349575,HLA-G/SEC24D/LMAN1/SEC13/SEC31A/SEC23A,6,6/433,F,LCa_ctrl_vs_disease,2.6089378916741945
CC,GO:0030126,COPI vesicle coat,13/19550,0.002615458358399,0.0300458752879495,0.0239050879483965,COPG1/COPB1/COPA,3,3/433,F,LCa_ctrl_vs_disease,2.5824521901314785
CC,GO:0031514,motile cilium,214/19550,0.0030356095539791,0.0340421928553377,0.0270846366219695,CABS1/DNAH5/AKAP4/ROPN1B/SLC25A31/TPPP2/ROPN1L/TCP11/ANXA1/ATP1B3/CAPZB/TTLL3,12,12/433,F,LCa_ctrl_vs_disease,2.5177540889876933
CC,GO:0030677,ribonuclease P complex,14/19550,0.0032744475327321,0.0358666229748097,0.0285361890245441,POP5/RPP40/POP4,3,3/433,F,LCa_ctrl_vs_disease,2.4848619639853653
CC,GO:0045121,membrane raft,335/19550,0.0034406055762439,0.0360116716980195,0.02865159263492,THY1/MYOF/S100A10/ANXA2/ACE2/MYO1C/RFTN1/ADAM17/CORO1C/IRS1/ATP1B3/IL6ST/GJA1/SDCBP/DLC1/CFLAR,16,16/433,F,LCa_ctrl_vs_disease,2.463365111127672
CC,GO:0098857,membrane microdomain,335/19550,0.0034406055762439,0.0360116716980195,0.02865159263492,THY1/MYOF/S100A10/ANXA2/ACE2/MYO1C/RFTN1/ADAM17/CORO1C/IRS1/ATP1B3/IL6ST/GJA1/SDCBP/DLC1/CFLAR,16,16/433,F,LCa_ctrl_vs_disease,2.463365111127672
CC,GO:0035578,azurophil granule lumen,91/19550,0.0040833699657388,0.0418101576926743,0.0332649818719232,C3/ANXA2/PTGES2/ACTR2/GNS/SDCBP/ACTR10,7,7/433,F,LCa_ctrl_vs_disease,2.38898126989335
CC,GO:0005684,U2-type spliceosomal complex,92/19550,0.0043375710895103,0.0434679996416892,0.0345839934572385,SNRPA1/SNW1/DHX16/CASC3/PRPF38A/LUC7L3/BUD13,7,7/433,F,LCa_ctrl_vs_disease,2.3627533943845753
BP,GO:0045646,regulation of erythrocyte differentiation,47/18723,2.83722608015711e-07,0.0005273934200303,0.0004444628572253,HSPA1A/ZFP36/HSPA1B/INHBA/ZFP36L1/MAFB,6,6/108,G,LCa_disease_vs_ctrl,6.547106056712883
BP,GO:0030218,erythrocyte differentiation,120/18723,4.64254771153494e-07,0.0005273934200303,0.0004444628572253,TGFBR3/HSPA1A/ZFP36/HSPA1B/INHBA/ZFP36L1/MAFB/ID2,8,8/108,G,LCa_disease_vs_ctrl,6.333243624314111
BP,GO:0034101,erythrocyte homeostasis,129/18723,8.0689193724405e-07,0.0006110861604728,0.0005149952399462,TGFBR3/HSPA1A/ZFP36/HSPA1B/INHBA/ZFP36L1/MAFB/ID2,8,8/108,G,LCa_disease_vs_ctrl,6.093184624139245
