ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio
BP,GO:0120254,olefinic compound metabolic process,153/18723,0.0002025061018698,0.0202708607971671,0.0181935745206185,CLCN2/ACAA1/DKK3/FADS2/PTGDS/ELOVL5/GPX4/STAR/MGLL/AKR1B1/RDH11/EGR1,12,12/426
BP,GO:0019216,regulation of lipid metabolic process,331/18723,0.0002240476010835,0.0218801608472776,0.0196379591809784,CERS2/CLCN2/STUB1/DKK3/CDK4/NR0B1/APOA1/IDH1/DHH/FMC1/ELOVL5/AKT1/STAR/MFSD2A/DHCR7/MID1IP1/SRC/EGR1/MBOAT7,19,19/426
BP,GO:0051881,regulation of mitochondrial membrane potential,74/18723,0.000272785138772,0.0260055165629312,0.0233405630016949,UBB/PRELID1/PINK1/CCK/AKT1/SRC/ATP5IF1/IFI6,8,8/426
BP,GO:0046184,aldehyde biosynthetic process,15/18723,0.0002955633967284,0.0268802691491334,0.0241256740299546,CLCN2/DKK3/PDXK/TPI1,4,4/426
BP,GO:1990822,basic amino acid transmembrane transport,15/18723,0.0002955633967284,0.0268802691491334,0.0241256740299546,SLC7A4/SLC25A29/SLC7A2/SLC47A1,4,4/426
BP,GO:0008203,cholesterol metabolic process,137/18723,0.0003021009270007,0.0268802691491334,0.0241256740299546,HMGCS2/FDPS/HMGCS1/MSMO1/APOA1/APP/STAR/DHCR24/DHCR7/SC5D/CYB5R3,11,11/426
BP,GO:0033559,unsaturated fatty acid metabolic process,116/18723,0.0003191313409827,0.0277783019411927,0.0249316795907335,ACAA1/MIF/FADS2/PTGDS/ELOVL5/GPX4/SCD5/SCD/MGLL/AKR1B1,10,10/426
BP,GO:0046394,carboxylic acid biosynthetic process,314/18723,0.0003308906649935,0.0281890685666858,0.0253003523020835,LDHC/MIF/HSD17B12/APOA1/FADS2/PTGDS/ELOVL5/GPX4/LIPG/STAR/SCD5/SCD/MGLL/MID1IP1/ILVBL/PLP1/ADI1/SERINC5,18,18/426
BP,GO:0097193,intrinsic apoptotic signaling pathway,288/18723,0.0003436949370137,0.028669885995895,0.0257318972580014,UBB/STK24/BECN1/MIF/PINK1/DDIT4/SELENOK/NME5/TRAP1/AKT1/P4HB/CUL3/MAEL/ACKR3/NCK2/SRC/IFI6,17,17/426
BP,GO:0046661,male sex differentiation,165/18723,0.0004058716930088,0.0331655154858631,0.0297668305033747,UBB/CTSV/AMH/HMGCS1/MEA1/NR0B1/DHH/STAR/DHCR24/INHA/INSL3/DMRT1,12,12/426
