Gene id,Average expression (normalized),Log2FC,Pct1,Z score,P_val,Adjusted p value,Pct2
LINGO1,0.0018177389007598,0.0001297053531743,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
CCL20,0.0024297513824867,0.0005968442419543,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
C5orf66,0.0031243826080358,0.0005409561563283,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
SEPT14P4,0.0026974070073388,0.0007202817942015,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
AC022182.3,0.0032038916068475,0.0011546574532985,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
LINC02012,0.00177177028197,0.0001755319390213,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
TBC1D28,0.0040855056023013,-0.0014687654329463,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
SRPX2,0.0057904469131007,0.0028349214699119,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
FOXP4-AS1,0.0016272656782223,0.0005041528493165,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
AL354809.1,0.0019278856954629,0.0004898064071312,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
C2orf69P2,0.003786030059715,0.0023128343746066,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
RNU6-5P,0.0030417773395617,0.0012200922938063,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
BCL2,0.0027145548006171,0.0006057386053726,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
ADAMTS7P3,0.0020730892465648,0.0007344157784245,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
AC105389.1,0.002117266896909,0.0004524170362856,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
SLC5A8,0.0034126968462963,0.0003100790199823,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
IGBP1P1,0.0033907463410461,0.0013415121939033,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
AC022916.1,0.0032240816019998,0.0008543608128093,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
TRADD,0.0020725997287805,0.0007396508008241,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
AP004247.2,0.0017964051099961,0.0004888836410827,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
RNASEL,0.0045977580321257,0.0026424839161336,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
PTTG2,0.0022352035890877,0.0005359960487112,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
AC011445.2,0.003303262632157,-0.000383438746212,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
OLFM1,0.0026345771996876,0.0008486768347211,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
AC005344.1,0.0019191321149191,-0.0004293338279239,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
AC243829.2,0.0088529838479955,0.0014650376979261,0.0049586776859504,0.5550845861434937,0.5788368144043041,0.6808419438335976,0.0036297640653357
AC090518.1,0.0080184962650815,-0.0022813517134636,0.0049586776859504,0.5550845861434937,0.5788368155829151,0.6808419438335976,0.0036297640653357
EDN1,0.0090957087315065,0.0027394436765462,0.0049586776859504,0.5550845861434937,0.5788368155829151,0.6808419438335976,0.0036297640653357
HOXB9,0.0038532042487194,0.0002660056925378,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
GYS1,0.0019522765561542,-0.0023719039745628,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
AP000662.1,0.0038082644502901,-0.0028863823972642,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
AC087501.4,0.0022875022057975,0.0002258435561088,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
AC016586.1,0.0018908584000691,-0.000361834623618,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
TMEM47,0.0022204079456746,-0.0002037229278357,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
C6orf222,0.0017729574075717,0.0004919202765449,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
SOWAHD,0.001951621648825,-0.0002297545725014,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
AL807752.1,0.0018778189458907,-0.0001454455195926,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
ARHGAP4,0.0018397792325996,-0.0007411007536575,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
AC005014.3,0.0014765639131348,-0.0003919207956641,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
AC116609.1,0.0028131681123958,0.0001001832060865,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
HAR1A,0.0022885899254893,-0.0010379218729212,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
MTDHP3,0.0028601436559619,0.0001946624979609,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
NECTIN1,0.001810605451355,-0.0005853536422364,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
TUBAL3,0.0020745952542957,-0.0004230709164403,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
SERPINF2,0.0017758228076676,-0.0008432653266936,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
AL139350.1,0.0028756126197459,-0.0016285849269479,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
MDFI,0.0023566054669907,0.0001227473694598,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
AC046195.1,0.0018160511488267,-0.0010838276939466,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
MAFA-AS1,0.0016608050448524,0.0001055273241945,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
RAB20,0.0019237770459937,-0.0001232142240041,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
MN1,0.0016298591468922,-0.0005731742712669,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
AL359238.1,0.0017520213565689,-0.0024446316529065,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
SHPK,0.001960501587203,0.0001070947619155,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
AC007996.1,0.0022777428191992,0.000008651003554405179,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
PLVAP,0.0012583161379995,-0.0004109915462322,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
AC006058.3,0.0022247616331128,-0.0010699380654841,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
BEST2,0.0031939570294952,-0.0012280840892344,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
GLDN,0.0029548677840482,0.0002418828808004,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
DLG3,0.0020119089382497,-0.00006429928907891735,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
AC108058.1,0.0014375993265549,-0.0042879250831902,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
PLXDC1,0.0027154860168504,-0.0040705408900976,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
TBX2,0.001472047945113,-0.0028237542137503,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
AL391422.3,0.0019981001262633,0.0004532832244876,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
AC025918.1,0.0012846607636245,-0.0002131427463609,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
FO393401.2,0.0021285658497412,-0.0003387386968825,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
CCDC8,0.0026858294354133,-0.0001456847821827,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
AL031985.3,0.0027388161070194,-0.000659363460727,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
RNF122,0.0022508333014618,-0.0012240125797688,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
GPRC5C,0.0016990267659739,-0.000194318650756,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
AL731537.2,0.0035722409720972,-0.0017928759334608,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
PMEPA1,0.0049113204819,-0.0002458304225001,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
AC005304.3,0.00142856882216,0.0003002287412527,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
NTM,0.0017189261758916,-0.0024351153988391,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
AC090948.3,0.0026521966743025,0.0003963984490837,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
FABP1,0.0017165548444572,-0.0021299184300005,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
SLITRK3,0.0019101657320781,-0.0005827445420436,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
NKAIN3,0.0020869821717547,0.0004370297538116,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
AC009320.1,0.0014830381580017,-0.0025149662978947,0.0016528925619834,0.5548629760742188,0.5789884073925509,0.6808419438335976,0.0009074410163339
OR9Q2,0.0061818148998063,-0.0023073642514646,0.0049586776859504,0.5548326969146729,0.5790090860436811,0.6808419438335976,0.0036297640653357
NME5,2.526527886098868,0.1110675558447837,0.8327272727272728,0.5547037124633789,0.5790973383510631,0.680886479032953,0.8411978221415608
DPYD,0.0080526595673656,0.000203286865144,0.0049586776859504,0.5545808672904968,0.5791813805785871,0.6809556738906437,0.0036297640653357
LPA,0.0079493914155023,0.000426060258178,0.0049586776859504,0.5543290376663208,0.5793536991800676,0.6811286465960511,0.0036297640653357
TLR5,0.0621944513508965,0.0112396534532308,0.0257851239669421,0.5542219281196594,0.5794269583197549,0.6811633005972365,0.0226860254083484
ATP8B3,0.681498563700619,0.0432696491479873,0.3484297520661157,0.5540533661842346,0.579542328488895,0.6812318960420647,0.3393829401088929
AL603832.2,0.0080846130005775,-0.003252092981711,0.0049586776859504,0.553825318813324,0.5796984085524671,0.6813561040778214,0.0036297640653357
