ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio
BP,GO:0002066,columnar/cuboidal epithelial cell development,44/18723,0.0004269208078156,0.0195995461769911,0.0170904502012325,FASN/ARNTL/IL6ST/BAD/YAP1/HIF1A/GSK3B,7,7/593
BP,GO:0005977,glycogen metabolic process,72/18723,0.0004341959488272,0.0197342058741981,0.0172078710245744,DYRK2/AGL/EPM2AIP1/IL6ST/PPP1CA/IRS2/GAA/PPP1CC/GSK3B,9,9/593
BP,GO:0034249,negative regulation of cellular amide metabolic process,273/18723,0.0004639765447891,0.0208789445155121,0.0182060624401374,GAPDH/PAIP2/ZFP36/HNRNPD/RIDA/CALR/KHSRP/ORMDL2/ENC1/TSC1/CPEB2/EIF4EBP2/METTL14/IREB2/BTG2/CPEB4/CELF1/SRP9/RNF139/EIF4A3,20,20/593
BP,GO:0006073,cellular glucan metabolic process,73/18723,0.0004815982844444,0.021251108765049,0.0185305829425996,DYRK2/AGL/EPM2AIP1/IL6ST/PPP1CA/IRS2/GAA/PPP1CC/GSK3B,9,9/593
BP,GO:0044042,glucan metabolic process,73/18723,0.0004815982844444,0.021251108765049,0.0185305829425996,DYRK2/AGL/EPM2AIP1/IL6ST/PPP1CA/IRS2/GAA/PPP1CC/GSK3B,9,9/593
BP,GO:0008631,intrinsic apoptotic signaling pathway in response to oxidative stress,45/18723,0.0004919405572503,0.0212939984066955,0.0185679819353155,MCL1/PINK1/NME5/PDK1/P4HB/HIF1A/UBQLN1,7,7/593
BP,GO:0044088,regulation of vacuole organization,45/18723,0.0004919405572503,0.0212939984066955,0.0185679819353155,PINK1/RAB1B/NUPR1/TMEM106B/IFT20/BECN1/CHMP4B,7,7/593
BP,GO:0051412,response to corticosterone,22/18723,0.0005273964072626,0.0226133648208371,0.0197184456141397,STAR/FOSB/CALM3/FOS/FOXO3,5,5/593
BP,GO:1903201,regulation of oxidative stress-induced cell death,74/18723,0.000533167724291,0.0226471710925493,0.0197479240723636,MCL1/PINK1/NME5/GATA4/TSC1/P4HB/FOXO3/HIF1A/UBQLN1,9,9/593
BP,GO:0048511,rhythmic process,298/18723,0.0005640098605131,0.0235426661177219,0.0205287795572284,CDK4/EGR1/ADNP/STAR/HNRNPD/KLF10/ARNTL/CBX3/JUND/PTN/KLF9/PPP1CA/GNA11/FBXL3/FOXO3/GNAQ/PPP1CC/BHLHE40/SIAH2/NRIP1/GSK3B,21,21/593
BP,GO:1900271,regulation of long-term synaptic potentiation,46/18723,0.0005646095944624,0.0235426661177219,0.0205287795572284,SQSTM1/PAIP2/PTN/NSG1/NPTN/CALB2/GSK3B,7,7/593
BP,GO:0010508,positive regulation of autophagy,124/18723,0.000576570960791,0.0237897165023466,0.0207442030296647,PINK1/KAT5/TSC1/TRIM8/SESN3/SVIP/FOXO1/FOXO3/BECN1/BAD/HIF1A/GSK3B,12,12/593
BP,GO:0036503,ERAD pathway,107/18723,0.000581002977285,0.0237897165023466,0.0207442030296647,STUB1/CALR/WFS1/RNF103/JKAMP/SVIP/NPLOC4/USP13/RNF139/STT3B/UBQLN1,11,11/593
BP,GO:0002065,columnar/cuboidal epithelial cell differentiation,91/18723,0.0006042184702045,0.0245194013132102,0.0213804750030077,B9D1/FASN/ARNTL/GATA4/IL6ST/HES1/BAD/YAP1/HIF1A/GSK3B,10,10/593
BP,GO:0009649,entrainment of circadian clock,34/18723,0.0006212368678339,0.024767733020221,0.0215970157654177,PPP1CA/GNA11/FBXL3/GNAQ/PPP1CC/BHLHE40,6,6/593
BP,GO:0016242,negative regulation of macroautophagy,34/18723,0.0006212368678339,0.024767733020221,0.0215970157654177,PINK1/NUPR1/PIK3CA/TSC1/BECN1/CHMP4B,6,6/593
BP,GO:0097191,extrinsic apoptotic signaling pathway,219/18723,0.0006340596767413,0.0250591411373005,0.0218511183792337,PRDX2/MCL1/BIRC6/STRADB/ATF3/HIPK1/ITGAV/IFI27/PPP1CA/FEM1B/PPP2R1B/IFI6/FOXO3/BAD/YAP1/SIAH2/GSK3B,17,17/593
BP,GO:0019884,antigen processing and presentation of exogenous antigen,47/18723,0.0006455569567279,0.0252935893821421,0.0220555530134364,HLA-DRB1/HLA-DRB5/CTSS/PSME1/LNPEP/AP3D1/CTSL,7,7/593
BP,GO:0006470,protein dephosphorylation,281/18723,0.0006681498858732,0.0259550532589215,0.0226323375646667,PINK1/PTPRF/SPPL3/CDKN3/PPM1L/CSNK2B/CALM3/TSC1/PTPRG/PPP6C/PPP1CA/CAMTA1/PPM1K/PPP2R1B/PPP4R4/YWHAB/PPP4R2/PPM1B/PPP1CC/GSK3B,20,20/593
