cell_type,avg_expr,pct_expr,gene
Lym,0.07182062874995004,0.07174887892376682,HOOK1
Myeloid,0.04698471613068879,0.032514151594643104,HOOK1
SPCs,0.25591514462301185,0.26638923140156184,HOOK1
SPGs,0.11084294375945544,0.11178247734138973,HOOK1
SSCs,0.20382158504400538,0.17281400609816072,HOOK1
STs,0.07681956077213882,0.09492361553150859,HOOK1
Spermatids,1.2429863750871868,0.7466218510219325,HOOK1
ECs,0.19911290144396068,0.10490266762797404,TNP1
LCs,0.029299370167019015,0.02332884701659937,TNP1
Lym,0.11619604262001311,0.09417040358744394,TNP1
Myeloid,0.2070509437906237,0.09982051636062406,TNP1
SPCs,0.5269133750742789,0.4547369502671599,TNP1
SPGs,0.45729411955963534,0.37717871252614454,TNP1
SSCs,0.37707474643682043,0.2977279433461198,TNP1
STs,0.20711713930666636,0.1952577975811585,TNP1
Spermatids,2.75040362777653,0.8384939227269641,TNP1
ECs,0.01634402060646244,0.012617159336697908,TEX29
LCs,0.00152607933455596,0.0014356213548676537,TEX29
Lym,0.0032800945198589375,0.004484304932735426,TEX29
Myeloid,0.02002403254454988,0.014496755488057435,TEX29
SPCs,0.03167786696168605,0.0376078914919852,TEX29
SPGs,0.022667958511742164,0.023471996281663954,TEX29
SSCs,0.026921580806762945,0.0245893577259762,TEX29
STs,0.014587305832409995,0.017982176957352006,TEX29
Spermatids,0.7964210987653639,0.4802743260677667,TEX29
ECs,0.04581903906373902,0.03568853640951694,DDX4
LCs,0.023786198646298114,0.017227456258411843,DDX4
Lym,0.30486034772321247,0.19282511210762332,DDX4
Myeloid,0.04085511944331172,0.03106447604583736,DDX4
SPCs,1.4845357837084263,0.8539354706124127,DDX4
SPGs,0.7846503695193873,0.5668138508017662,DDX4
SSCs,1.1350376657490135,0.7050260647191895,DDX4
STs,0.03822404390911173,0.047183322724379376,DDX4
Spermatids,1.0415075186306375,0.7003123514632987,DDX4
ECs,0.15873930657520172,0.10742609949531362,CFD
