Gene,CTRL,Disease
SMIM21,0.020899103871696127,0.014012854858093933
SMIM22,0.4401068494628631,0.5287299164769539
SMIM23,0.04588898907681874,0.08857295824022295
SMIM24,0.001584177043115966,0.006443925049832753
SMIM25,0.0,0.00014854125280446126
SMIM26,0.9172564177957382,1.2560493572877705
SMIM27,0.3054995114082054,0.8675416457489232
SMIM28,0.0,0.0
SMIM29,0.012817050346736164,0.018842883106779288
SMIM3,0.0019393797699825237,0.002596338477701235
SMIM30,0.22147042291076835,0.40186901623974497
SMIM32,0.0,0.00477398230108415
SMIM33,0.0,0.0
SMIM35,0.0021965707586425708,0.0
SMIM36,0.44396563187303234,0.595089349384397
SMIM37,0.8991012131740443,0.9786088471168833
SMIM4,0.12956374396843984,0.1616937373573411
SMIM5,0.005571377983679713,0.008091170687401263
SMIM6,0.030894233156660553,0.03777808260928091
SMIM7,1.5886951981888444,1.4816875456857583
SMIM8,0.26914427993116274,0.2878320299438091
SMIM9,0.0053708879165114826,0.01712041872253036
SMKR1,0.3427775648494482,0.46662630320012144
SMLR1,0.006976289475600824,0.0
SMN1,0.3132495966531131,0.36384276157638995
SMN2,0.09050089105283456,0.18497409302824705
SMNDC1,0.7739099599142266,0.8106951978554762
SMO,0.0007981325007697239,0.0018189571455054343
SMOC1,0.007743179522684589,0.02533988548405364
SMOC2,0.021687350825275137,0.03484762011620358
SMOX,0.12027309291605952,0.3297685311954339
SMPD1,0.018598900290335504,0.013439903516340595
SMPD2,0.32548421976372827,0.4797305403438884
SMPD3,0.04493618632468582,0.0589207832410181
SMPD4,0.11554275505232052,0.12599433012851904
SMPD4P1,0.06467616109331903,0.025879706896645278
SMPD5,0.0,0.00010076913466840078
SMPDL3A,0.004591353485060912,0.008995280370466638
SMPDL3B,0.005451878238252284,0.0015940702972532252
SMPX,0.0,0.0
SMR3A,0.0,0.0
SMR3B,0.0039293400499065085,0.0027733708301260923
SMS,0.05664007758952464,0.03858148390697978
SMTN,0.051153868130960754,0.040350896692444474
SMTNL1,0.0,0.0
SMTNL2,0.0,0.000582898104246534
SMU1,0.666171584755139,0.7732189322844514
SMUG1,0.3117794175881189,0.2639839517492729
SMUG1-AS1,0.0012173653530352063,0.0007638298348798294
SMURF1,0.7644851319961989,0.8711552869020801
SMURF2,0.3775129269801174,0.39800086378605065
SMURF2P1,0.009147959129032756,0.008184095840864611
SMYD1,0.0011469156500366659,0.0017463140111565298
SMYD2,0.23482468853357213,0.21038635578613343
SMYD3,0.19896345099168639,0.16424701020643706
SMYD4,0.2292409517477756,0.2299634108440343
SMYD5,0.08243488372946561,0.11569774628081635
SNAI1,0.012108412060453363,0.013679170638922272
SNAI1P1,0.0,0.0006590550411176932
SNAI2,0.0009472771426171773,0.00375262171878928
SNAI3,0.001348611133700142,0.00015831519444638983
SNAI3-AS1,0.037938458184204736,0.04934163950671127
SNAP23,0.13133706550871568,0.2288142072340694
SNAP23P1,0.0,0.003565902128400953
SNAP25,0.007279948879431667,0.006329287944731387
SNAP25-AS1,0.002511603971402879,0.0042095884104143555
SNAP29,0.7370805427498288,0.728049013370328
SNAP47,0.6145543976249042,0.57026942542553
SNAP47-AS1,0.00282075290327971,0.0008439867057026349
SNAP91,0.7854357173179299,0.5686982123488258
SNAPC1,1.7997933674624746,1.741083015218126
SNAPC2,0.0554240406869495,0.05966745250042149
SNAPC3,1.7219884427563228,1.684074238450069
SNAPC4,0.18870527112895086,0.20243631259182576
SNAPC5,0.7122506306922137,0.7986928519538921
SNAPIN,0.208479837222068,0.3408306989620264
SNCA,0.018959852614014026,0.00975999324746107
SNCA-AS1,0.0026204741920910295,0.00018205314672778623
SNCAIP,0.09961211262028738,0.04529965103527175
